# Excitation rates (triniti, 6 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
8.350,2.349639e-14,2.384628e-32
8.400,2.358471e-14,2.397342e-32
8.450,2.367311e-14,2.410085e-32
8.500,2.376160e-14,2.422860e-32
8.550,2.385019e-14,2.435665e-32
8.600,2.393889e-14,2.448503e-32
8.650,2.402770e-14,2.461372e-32
8.700,2.411664e-14,2.474275e-32
8.750,2.420571e-14,2.487211e-32
8.800,2.429491e-14,2.500180e-32
8.850,2.438426e-14,2.513184e-32
8.900,2.447377e-14,2.526222e-32
8.950,2.456343e-14,2.539296e-32
9.000,2.465326e-14,2.552406e-32
9.050,2.474326e-14,2.565553e-32
9.100,2.483345e-14,2.578736e-32
9.150,2.492383e-14,2.591958e-32
9.200,2.501440e-14,2.605217e-32
9.250,2.510518e-14,2.618516e-32
9.300,2.519617e-14,2.631854e-32
9.350,2.528738e-14,2.645232e-32
9.400,2.537882e-14,2.658651e-32
9.450,2.547049e-14,2.672112e-32
9.500,2.556241e-14,2.685615e-32
9.550,2.565457e-14,2.699160e-32
9.600,2.574699e-14,2.712749e-32
9.650,2.583968e-14,2.726382e-32
9.700,2.593263e-14,2.740060e-32
9.750,2.602587e-14,2.753784e-32
9.800,2.611939e-14,2.767554e-32
9.850,2.621321e-14,2.781371e-32
9.900,2.630733e-14,2.795236e-32
9.950,2.640175e-14,2.809149e-32
10.000,2.649650e-14,2.823111e-32
10.050,2.659156e-14,2.837124e-32
10.100,2.668696e-14,2.851187e-32
10.150,2.678270e-14,2.865301e-32
10.200,2.687879e-14,2.879468e-32
10.250,2.697523e-14,2.893688e-32
10.300,2.707203e-14,2.907962e-32
10.350,2.716919e-14,2.922290e-32
10.400,2.726674e-14,2.936673e-32
10.450,2.736467e-14,2.951113e-32
10.500,2.746298e-14,2.965610e-32
10.550,2.756170e-14,2.980164e-32
10.600,2.766082e-14,2.994777e-32
10.650,2.776036e-14,3.009449e-32
10.700,2.786031e-14,3.024181e-32
10.750,2.796069e-14,3.038974e-32
10.800,2.806150e-14,3.053828e-32
10.850,2.816276e-14,3.068745e-32
10.900,2.826446e-14,3.083725e-32
10.950,2.836662e-14,3.098769e-32
11.000,2.846924e-14,3.113878e-32
11.050,2.857233e-14,3.129052e-32
11.100,2.867590e-14,3.144292e-32
11.150,2.877994e-14,3.159600e-32
11.200,2.888448e-14,3.174975e-32
