# Excitation rates (bsr, 31 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
8.350,5.448696e-15,1.162125e-32
8.400,5.502717e-15,1.173672e-32
8.450,5.556641e-15,1.185199e-32
8.500,5.610467e-15,1.196704e-32
8.550,5.664193e-15,1.208187e-32
8.600,5.717818e-15,1.219648e-32
8.650,5.771341e-15,1.231086e-32
8.700,5.824758e-15,1.242502e-32
8.750,5.878071e-15,1.253894e-32
8.800,5.931276e-15,1.265264e-32
8.850,5.984373e-15,1.276609e-32
8.900,6.037360e-15,1.287931e-32
8.950,6.090236e-15,1.299228e-32
9.000,6.143001e-15,1.310501e-32
9.050,6.195653e-15,1.321749e-32
9.100,6.248190e-15,1.332972e-32
9.150,6.300613e-15,1.344170e-32
9.200,6.352920e-15,1.355343e-32
9.250,6.405111e-15,1.366491e-32
9.300,6.457184e-15,1.377613e-32
9.350,6.509139e-15,1.388709e-32
9.400,6.560975e-15,1.399779e-32
9.450,6.612691e-15,1.410823e-32
9.500,6.664287e-15,1.421840e-32
9.550,6.715763e-15,1.432832e-32
9.600,6.767117e-15,1.443796e-32
9.650,6.818349e-15,1.454735e-32
9.700,6.869459e-15,1.465646e-32
9.750,6.920446e-15,1.476531e-32
9.800,6.971310e-15,1.487389e-32
9.850,7.022050e-15,1.498220e-32
9.900,7.072667e-15,1.509024e-32
9.950,7.123159e-15,1.519801e-32
10.000,7.173527e-15,1.530550e-32
10.050,7.223771e-15,1.541273e-32
10.100,7.273889e-15,1.551968e-32
10.150,7.323882e-15,1.562636e-32
10.200,7.373750e-15,1.573277e-32
10.250,7.423492e-15,1.583890e-32
10.300,7.473109e-15,1.594476e-32
10.350,7.522600e-15,1.605035e-32
10.400,7.571966e-15,1.615566e-32
10.450,7.621206e-15,1.626070e-32
10.500,7.670319e-15,1.636546e-32
10.550,7.719307e-15,1.646995e-32
10.600,7.768169e-15,1.657417e-32
10.650,7.816906e-15,1.667811e-32
10.700,7.865516e-15,1.678178e-32
10.750,7.914001e-15,1.688517e-32
10.800,7.962360e-15,1.698829e-32
10.850,8.010594e-15,1.709114e-32
10.900,8.058702e-15,1.719371e-32
10.950,8.106685e-15,1.729601e-32
11.000,8.154543e-15,1.739804e-32
11.050,8.202275e-15,1.749979e-32
11.100,8.249883e-15,1.760128e-32
11.150,8.297366e-15,1.770249e-32
11.200,8.344725e-15,1.780343e-32
11.250,8.391959e-15,1.790410e-32
11.300,8.439069e-15,1.800451e-32
11.350,8.486055e-15,1.810464e-32
11.400,8.532918e-15,1.820450e-32
11.450,8.579657e-15,1.830410e-32
11.500,8.626273e-15,1.840342e-32
11.550,8.672766e-15,1.850248e-32
11.600,8.719137e-15,1.860128e-32
11.650,8.765385e-15,1.869980e-32
11.700,8.811511e-15,1.879806e-32
11.750,8.857515e-15,1.889606e-32
11.800,8.903398e-15,1.899379e-32
11.850,8.949160e-15,1.909126e-32
11.900,8.994801e-15,1.918847e-32
11.950,9.040321e-15,1.928541e-32
12.000,9.085721e-15,1.938210e-32
12.050,9.131001e-15,1.947852e-32
12.100,9.176161e-15,1.957469e-32
12.150,9.221202e-15,1.967059e-32
12.200,9.266125e-15,1.976624e-32
12.250,9.310928e-15,1.986162e-32
12.300,9.355614e-15,1.995676e-32
12.350,9.400182e-15,2.005163e-32
12.400,9.444632e-15,2.014625e-32
12.450,9.488965e-15,2.024062e-32
12.500,9.533182e-15,2.033474e-32
12.550,9.577282e-15,2.042860e-32
12.600,9.621266e-15,2.052221e-32
12.650,9.665134e-15,2.061556e-32
12.700,9.708887e-15,2.070867e-32
12.750,9.752525e-15,2.080153e-32
12.800,9.796049e-15,2.089414e-32
12.850,9.839459e-15,2.098651e-32
12.900,9.882755e-15,2.107862e-32
12.950,9.925937e-15,2.117050e-32
13.000,9.969007e-15,2.126212e-32
13.050,1.001196e-14,2.135350e-32
13.100,1.005481e-14,2.144464e-32
13.150,1.009754e-14,2.153554e-32
13.200,1.014016e-14,2.162620e-32
13.250,1.018267e-14,2.171661e-32
13.300,1.022508e-14,2.180679e-32
13.350,1.026737e-14,2.189672e-32
13.400,1.030955e-14,2.198642e-32
13.450,1.035162e-14,2.207588e-32
13.500,1.039358e-14,2.216511e-32
13.550,1.043543e-14,2.225410e-32
13.600,1.047718e-14,2.234286e-32
13.650,1.051881e-14,2.243138e-32
13.700,1.056034e-14,2.251967e-32
13.750,1.060177e-14,2.260773e-32
13.800,1.064308e-14,2.269556e-32
13.850,1.068429e-14,2.278316e-32
13.900,1.072540e-14,2.287052e-32
13.950,1.076640e-14,2.295767e-32
14.000,1.080729e-14,2.304458e-32
14.050,1.084808e-14,2.313127e-32
14.100,1.088876e-14,2.321773e-32
14.150,1.092935e-14,2.330397e-32
14.200,1.096982e-14,2.338998e-32
14.250,1.101020e-14,2.347577e-32
14.300,1.105047e-14,2.356134e-32
14.350,1.109064e-14,2.364669e-32
14.400,1.113071e-14,2.373182e-32
14.450,1.117067e-14,2.381672e-32
14.500,1.121054e-14,2.390141e-32
14.550,1.125030e-14,2.398589e-32
14.600,1.128997e-14,2.407014e-32
14.650,1.132953e-14,2.415418e-32
14.700,1.136900e-14,2.423801e-32
14.750,1.140836e-14,2.432162e-32
14.800,1.144763e-14,2.440501e-32
14.850,1.148680e-14,2.448820e-32
14.900,1.152587e-14,2.457117e-32
14.950,1.156484e-14,2.465393e-32
