# Elastic rate (muroranit)
Te_eV,Kel_m3s
0.500,2.846371e-14
0.550,3.015842e-14
0.600,3.174060e-14
0.650,3.322149e-14
0.700,3.461120e-14
0.750,3.591879e-14
0.800,3.715245e-14
0.850,3.831949e-14
0.900,3.942654e-14
0.950,4.047952e-14
1.000,4.148379e-14
1.050,4.244415e-14
1.100,4.336494e-14
1.150,4.425007e-14
1.200,4.510305e-14
1.250,4.592707e-14
1.300,4.672497e-14
1.350,4.749934e-14
1.400,4.825249e-14
1.450,4.898651e-14
1.500,4.970327e-14
1.550,5.040445e-14
1.600,5.109158e-14
1.650,5.176600e-14
1.700,5.242893e-14
1.750,5.308146e-14
1.800,5.372456e-14
1.850,5.435910e-14
1.900,5.498585e-14
1.950,5.560551e-14
2.000,5.621869e-14
2.050,5.682595e-14
2.100,5.742775e-14
2.150,5.802455e-14
2.200,5.861671e-14
2.250,5.920458e-14
2.300,5.978845e-14
2.350,6.036858e-14
2.400,6.094522e-14
2.450,6.151855e-14
2.500,6.208877e-14
2.550,6.265601e-14
2.600,6.322042e-14
2.650,6.378212e-14
2.700,6.434120e-14
2.750,6.489776e-14
2.800,6.545186e-14
2.850,6.600358e-14
2.900,6.655296e-14
2.950,6.710005e-14
3.000,6.764489e-14
3.050,6.818751e-14
3.100,6.872794e-14
3.150,6.926619e-14
3.200,6.980228e-14
3.250,7.033623e-14
3.300,7.086804e-14
3.350,7.139772e-14
3.400,7.192528e-14
3.450,7.245071e-14
3.500,7.297401e-14
3.550,7.349519e-14
3.600,7.401424e-14
3.650,7.453115e-14
3.700,7.504593e-14
3.750,7.555857e-14
3.800,7.606905e-14
3.850,7.657739e-14
3.900,7.708357e-14
3.950,7.758758e-14
4.000,7.808943e-14
4.050,7.858909e-14
4.100,7.908658e-14
4.150,7.958188e-14
4.200,8.007499e-14
4.250,8.056591e-14
4.300,8.105462e-14
4.350,8.154113e-14
4.400,8.202543e-14
4.450,8.250752e-14
4.500,8.298740e-14
4.550,8.346506e-14
4.600,8.394050e-14
4.650,8.441373e-14
4.700,8.488473e-14
4.750,8.535352e-14
4.800,8.582008e-14
4.850,8.628442e-14
4.900,8.674655e-14
4.950,8.720645e-14
5.000,8.766414e-14
5.050,8.811961e-14
5.100,8.857287e-14
5.150,8.902391e-14
5.200,8.947275e-14
5.250,8.991939e-14
5.300,9.036383e-14
5.350,9.080607e-14
5.400,9.124611e-14
5.450,9.168397e-14
5.500,9.211965e-14
5.550,9.255315e-14
5.600,9.298447e-14
5.650,9.341363e-14
5.700,9.384063e-14
5.750,9.426548e-14
5.800,9.468817e-14
5.850,9.510873e-14
5.900,9.552715e-14
5.950,9.594344e-14
6.000,9.635760e-14
6.050,9.676966e-14
6.100,9.717961e-14
6.150,9.758745e-14
6.200,9.799321e-14
6.250,9.839688e-14
6.300,9.879848e-14
6.350,9.919801e-14
6.400,9.959548e-14
6.450,9.999089e-14
6.500,1.003843e-13
6.550,1.007756e-13
6.600,1.011649e-13
6.650,1.015522e-13
6.700,1.019375e-13
6.750,1.023208e-13
6.800,1.027021e-13
6.850,1.030814e-13
6.900,1.034587e-13
6.950,1.038341e-13
7.000,1.042075e-13
7.050,1.045789e-13
7.100,1.049484e-13
7.150,1.053160e-13
7.200,1.056817e-13
7.250,1.060454e-13
7.300,1.064073e-13
7.350,1.067672e-13
7.400,1.071253e-13
7.450,1.074815e-13
7.500,1.078358e-13
7.550,1.081882e-13
7.600,1.085389e-13
7.650,1.088876e-13
7.700,1.092346e-13
7.750,1.095797e-13
7.800,1.099230e-13
7.850,1.102644e-13
7.900,1.106041e-13
7.950,1.109420e-13
8.000,1.112781e-13
8.050,1.116125e-13
8.100,1.119451e-13
8.150,1.122759e-13
8.200,1.126050e-13
8.250,1.129323e-13
8.300,1.132580e-13
8.350,1.135819e-13
8.400,1.139041e-13
8.450,1.142246e-13
8.500,1.145433e-13
8.550,1.148605e-13
8.600,1.151759e-13
8.650,1.154897e-13
8.700,1.158018e-13
8.750,1.161122e-13
8.800,1.164210e-13
8.850,1.167282e-13
8.900,1.170337e-13
8.950,1.173377e-13
9.000,1.176400e-13
9.050,1.179407e-13
9.100,1.182398e-13
9.150,1.185373e-13
9.200,1.188333e-13
9.250,1.191277e-13
9.300,1.194205e-13
9.350,1.197118e-13
9.400,1.200015e-13
9.450,1.202897e-13
9.500,1.205763e-13
9.550,1.208614e-13
9.600,1.211450e-13
9.650,1.214271e-13
9.700,1.217077e-13
9.750,1.219868e-13
9.800,1.222644e-13
9.850,1.225406e-13
9.900,1.228152e-13
9.950,1.230884e-13
10.000,1.233602e-13
10.050,1.236305e-13
10.100,1.238993e-13
10.150,1.241667e-13
10.200,1.244327e-13
10.250,1.246973e-13
10.300,1.249605e-13
10.350,1.252222e-13
10.400,1.254825e-13
10.450,1.257415e-13
10.500,1.259991e-13
10.550,1.262553e-13
10.600,1.265101e-13
10.650,1.267635e-13
10.700,1.270156e-13
10.750,1.272664e-13
10.800,1.275158e-13
10.850,1.277639e-13
10.900,1.280106e-13
10.950,1.282560e-13
11.000,1.285001e-13
11.050,1.287429e-13
11.100,1.289844e-13
11.150,1.292245e-13
11.200,1.294634e-13
11.250,1.297010e-13
11.300,1.299373e-13
11.350,1.301724e-13
11.400,1.304062e-13
11.450,1.306387e-13
11.500,1.308700e-13
11.550,1.311000e-13
11.600,1.313287e-13
11.650,1.315563e-13
11.700,1.317826e-13
11.750,1.320077e-13
11.800,1.322316e-13
11.850,1.324542e-13
11.900,1.326757e-13
11.950,1.328959e-13
12.000,1.331150e-13
12.050,1.333329e-13
12.100,1.335496e-13
12.150,1.337651e-13
12.200,1.339794e-13
12.250,1.341926e-13
12.300,1.344046e-13
12.350,1.346155e-13
12.400,1.348252e-13
12.450,1.350338e-13
12.500,1.352413e-13
12.550,1.354476e-13
12.600,1.356528e-13
12.650,1.358568e-13
12.700,1.360598e-13
12.750,1.362616e-13
12.800,1.364624e-13
12.850,1.366620e-13
12.900,1.368606e-13
12.950,1.370581e-13
13.000,1.372544e-13
13.050,1.374498e-13
13.100,1.376440e-13
13.150,1.378372e-13
13.200,1.380293e-13
13.250,1.382203e-13
13.300,1.384103e-13
