# Ionisation rate (iaa)
Te_eV,Kiz_m3s
13.700,9.896652e-15
13.750,9.961253e-15
13.800,1.002588e-14
13.850,1.009054e-14
13.900,1.015523e-14
13.950,1.021993e-14
14.000,1.028467e-14
14.050,1.034943e-14
14.100,1.041421e-14
14.150,1.047901e-14
14.200,1.054383e-14
14.250,1.060867e-14
14.300,1.067353e-14
14.350,1.073841e-14
14.400,1.080330e-14
14.450,1.086821e-14
14.500,1.093314e-14
14.550,1.099808e-14
14.600,1.106303e-14
14.650,1.112799e-14
14.700,1.119297e-14
14.750,1.125795e-14
14.800,1.132294e-14
14.850,1.138795e-14
14.900,1.145296e-14
14.950,1.151797e-14
15.000,1.158300e-14
15.050,1.164803e-14
15.100,1.171306e-14
15.150,1.177810e-14
15.200,1.184314e-14
15.250,1.190818e-14
15.300,1.197322e-14
15.350,1.203826e-14
15.400,1.210331e-14
15.450,1.216835e-14
15.500,1.223339e-14
15.550,1.229843e-14
15.600,1.236346e-14
15.650,1.242849e-14
15.700,1.249352e-14
15.750,1.255854e-14
15.800,1.262356e-14
15.850,1.268857e-14
15.900,1.275357e-14
15.950,1.281856e-14
16.000,1.288355e-14
16.050,1.294852e-14
16.100,1.301349e-14
16.150,1.307844e-14
16.200,1.314339e-14
16.250,1.320832e-14
16.300,1.327324e-14
16.350,1.333815e-14
16.400,1.340304e-14
16.450,1.346792e-14
16.500,1.353279e-14
16.550,1.359764e-14
16.600,1.366247e-14
16.650,1.372729e-14
16.700,1.379209e-14
16.750,1.385687e-14
16.800,1.392164e-14
16.850,1.398638e-14
16.900,1.405111e-14
16.950,1.411582e-14
17.000,1.418051e-14
17.050,1.424517e-14
17.100,1.430982e-14
17.150,1.437444e-14
17.200,1.443905e-14
17.250,1.450362e-14
17.300,1.456818e-14
17.350,1.463271e-14
17.400,1.469722e-14
17.450,1.476171e-14
17.500,1.482617e-14
17.550,1.489060e-14
17.600,1.495501e-14
17.650,1.501939e-14
17.700,1.508374e-14
17.750,1.514807e-14
17.800,1.521237e-14
17.850,1.527664e-14
17.900,1.534089e-14
17.950,1.540510e-14
18.000,1.546929e-14
18.050,1.553344e-14
18.100,1.559757e-14
18.150,1.566166e-14
18.200,1.572573e-14
18.250,1.578976e-14
18.300,1.585376e-14
18.350,1.591773e-14
18.400,1.598167e-14
18.450,1.604558e-14
18.500,1.610945e-14
18.550,1.617329e-14
18.600,1.623709e-14
18.650,1.630086e-14
18.700,1.636460e-14
18.750,1.642830e-14
18.800,1.649197e-14
18.850,1.655560e-14
18.900,1.661919e-14
18.950,1.668275e-14
19.000,1.674628e-14
19.050,1.680976e-14
19.100,1.687321e-14
19.150,1.693662e-14
19.200,1.700000e-14
19.250,1.706333e-14
19.300,1.712663e-14
19.350,1.718989e-14
19.400,1.725311e-14
19.450,1.731630e-14
19.500,1.737944e-14
19.550,1.744254e-14
19.600,1.750560e-14
19.650,1.756863e-14
19.700,1.763161e-14
19.750,1.769455e-14
19.800,1.775745e-14
19.850,1.782032e-14
19.900,1.788313e-14
19.950,1.794591e-14
20.000,1.800865e-14
