# Ionisation rate (biagi)
Te_eV,Kiz_m3s
13.700,4.374602e-14
13.750,4.400143e-14
13.800,4.425668e-14
13.850,4.451175e-14
13.900,4.476665e-14
13.950,4.502136e-14
14.000,4.527590e-14
14.050,4.553025e-14
14.100,4.578441e-14
14.150,4.603837e-14
14.200,4.629214e-14
14.250,4.654571e-14
14.300,4.679908e-14
14.350,4.705225e-14
14.400,4.730521e-14
14.450,4.755795e-14
14.500,4.781048e-14
14.550,4.806280e-14
14.600,4.831490e-14
14.650,4.856677e-14
14.700,4.881843e-14
14.750,4.906985e-14
14.800,4.932104e-14
14.850,4.957201e-14
14.900,4.982274e-14
14.950,5.007323e-14
15.000,5.032348e-14
15.050,5.057349e-14
15.100,5.082326e-14
15.150,5.107278e-14
15.200,5.132205e-14
15.250,5.157108e-14
15.300,5.181985e-14
15.350,5.206837e-14
15.400,5.231663e-14
15.450,5.256463e-14
15.500,5.281237e-14
15.550,5.305985e-14
15.600,5.330707e-14
15.650,5.355402e-14
15.700,5.380070e-14
15.750,5.404712e-14
15.800,5.429326e-14
15.850,5.453913e-14
15.900,5.478473e-14
15.950,5.503005e-14
16.000,5.527509e-14
16.050,5.551986e-14
16.100,5.576435e-14
16.150,5.600855e-14
16.200,5.625247e-14
16.250,5.649611e-14
16.300,5.673946e-14
16.350,5.698252e-14
16.400,5.722529e-14
16.450,5.746778e-14
16.500,5.770997e-14
16.550,5.795188e-14
16.600,5.819349e-14
16.650,5.843480e-14
16.700,5.867582e-14
16.750,5.891654e-14
16.800,5.915697e-14
16.850,5.939710e-14
16.900,5.963692e-14
16.950,5.987645e-14
17.000,6.011567e-14
17.050,6.035460e-14
17.100,6.059322e-14
17.150,6.083153e-14
17.200,6.106954e-14
17.250,6.130725e-14
17.300,6.154464e-14
17.350,6.178173e-14
17.400,6.201852e-14
17.450,6.225499e-14
17.500,6.249115e-14
17.550,6.272701e-14
17.600,6.296255e-14
17.650,6.319778e-14
17.700,6.343270e-14
17.750,6.366730e-14
17.800,6.390159e-14
17.850,6.413557e-14
17.900,6.436923e-14
17.950,6.460258e-14
18.000,6.483561e-14
18.050,6.506833e-14
18.100,6.530073e-14
18.150,6.553281e-14
18.200,6.576458e-14
18.250,6.599603e-14
18.300,6.622716e-14
18.350,6.645797e-14
18.400,6.668846e-14
18.450,6.691863e-14
18.500,6.714848e-14
18.550,6.737802e-14
18.600,6.760723e-14
18.650,6.783612e-14
18.700,6.806469e-14
18.750,6.829294e-14
18.800,6.852087e-14
18.850,6.874848e-14
18.900,6.897576e-14
18.950,6.920273e-14
19.000,6.942937e-14
19.050,6.965569e-14
19.100,6.988168e-14
19.150,7.010736e-14
19.200,7.033271e-14
19.250,7.055773e-14
19.300,7.078244e-14
19.350,7.100682e-14
19.400,7.123088e-14
19.450,7.145462e-14
19.500,7.167803e-14
19.550,7.190112e-14
19.600,7.212388e-14
19.650,7.234632e-14
19.700,7.256844e-14
19.750,7.279024e-14
19.800,7.301171e-14
19.850,7.323286e-14
19.900,7.345368e-14
19.950,7.367418e-14
20.000,7.389436e-14
