# Excitation rates (hayashi, 25 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
8.350,8.467201e-15,1.804326e-32
8.400,8.557873e-15,1.823801e-32
8.450,8.648464e-15,1.843260e-32
8.500,8.738971e-15,1.862703e-32
8.550,8.829388e-15,1.882129e-32
8.600,8.919711e-15,1.901535e-32
8.650,9.009937e-15,1.920923e-32
8.700,9.100061e-15,1.940290e-32
8.750,9.190079e-15,1.959636e-32
8.800,9.279988e-15,1.978960e-32
8.850,9.369783e-15,1.998261e-32
8.900,9.459463e-15,2.017539e-32
8.950,9.549022e-15,2.036792e-32
9.000,9.638458e-15,2.056020e-32
9.050,9.727767e-15,2.075223e-32
9.100,9.816946e-15,2.094399e-32
9.150,9.905993e-15,2.113548e-32
9.200,9.994903e-15,2.132668e-32
9.250,1.008368e-14,2.151761e-32
9.300,1.017231e-14,2.170824e-32
9.350,1.026079e-14,2.189858e-32
9.400,1.034913e-14,2.208861e-32
9.450,1.043732e-14,2.227834e-32
9.500,1.052536e-14,2.246775e-32
9.550,1.061325e-14,2.265685e-32
9.600,1.070098e-14,2.284561e-32
9.650,1.078855e-14,2.303405e-32
9.700,1.087596e-14,2.322216e-32
9.750,1.096320e-14,2.340993e-32
9.800,1.105029e-14,2.359735e-32
9.850,1.113720e-14,2.378443e-32
9.900,1.122395e-14,2.397116e-32
9.950,1.131053e-14,2.415753e-32
10.000,1.139693e-14,2.434354e-32
10.050,1.148316e-14,2.452918e-32
10.100,1.156922e-14,2.471446e-32
10.150,1.165510e-14,2.489937e-32
10.200,1.174080e-14,2.508391e-32
10.250,1.182632e-14,2.526807e-32
10.300,1.191166e-14,2.545184e-32
10.350,1.199681e-14,2.563524e-32
10.400,1.208179e-14,2.581824e-32
10.450,1.216657e-14,2.600086e-32
10.500,1.225118e-14,2.618309e-32
10.550,1.233559e-14,2.636492e-32
10.600,1.241982e-14,2.654636e-32
10.650,1.250385e-14,2.672739e-32
10.700,1.258770e-14,2.690802e-32
10.750,1.267135e-14,2.708825e-32
10.800,1.275481e-14,2.726807e-32
10.850,1.283808e-14,2.744749e-32
10.900,1.292115e-14,2.762649e-32
10.950,1.300403e-14,2.780508e-32
11.000,1.308671e-14,2.798326e-32
11.050,1.316920e-14,2.816102e-32
11.100,1.325149e-14,2.833836e-32
11.150,1.333358e-14,2.851529e-32
11.200,1.341547e-14,2.869179e-32
11.250,1.349716e-14,2.886787e-32
11.300,1.357866e-14,2.904353e-32
11.350,1.365995e-14,2.921876e-32
11.400,1.374104e-14,2.939357e-32
11.450,1.382193e-14,2.956795e-32
11.500,1.390262e-14,2.974190e-32
11.550,1.398311e-14,2.991542e-32
11.600,1.406339e-14,3.008851e-32
11.650,1.414347e-14,3.026117e-32
11.700,1.422335e-14,3.043340e-32
11.750,1.430302e-14,3.060519e-32
11.800,1.438249e-14,3.077655e-32
11.850,1.446175e-14,3.094747e-32
11.900,1.454081e-14,3.111796e-32
11.950,1.461967e-14,3.128802e-32
12.000,1.469832e-14,3.145764e-32
12.050,1.477676e-14,3.162682e-32
12.100,1.485500e-14,3.179556e-32
12.150,1.493304e-14,3.196386e-32
12.200,1.501086e-14,3.213173e-32
12.250,1.508848e-14,3.229916e-32
12.300,1.516590e-14,3.246614e-32
12.350,1.524311e-14,3.263269e-32
12.400,1.532011e-14,3.279880e-32
12.450,1.539691e-14,3.296447e-32
12.500,1.547350e-14,3.312970e-32
12.550,1.554989e-14,3.329449e-32
12.600,1.562607e-14,3.345884e-32
12.650,1.570204e-14,3.362274e-32
12.700,1.577780e-14,3.378621e-32
12.750,1.585336e-14,3.394924e-32
12.800,1.592872e-14,3.411182e-32
12.850,1.600386e-14,3.427397e-32
12.900,1.607880e-14,3.443567e-32
12.950,1.615354e-14,3.459694e-32
13.000,1.622807e-14,3.475776e-32
13.050,1.630239e-14,3.491815e-32
13.100,1.637651e-14,3.507809e-32
13.150,1.645042e-14,3.523760e-32
13.200,1.652413e-14,3.539667e-32
13.250,1.659763e-14,3.555529e-32
13.300,1.667093e-14,3.571348e-32
13.350,1.674402e-14,3.587123e-32
13.400,1.681691e-14,3.602854e-32
13.450,1.688959e-14,3.618542e-32
13.500,1.696207e-14,3.634185e-32
13.550,1.703434e-14,3.649785e-32
13.600,1.710641e-14,3.665341e-32
13.650,1.717828e-14,3.680854e-32
13.700,1.724994e-14,3.696323e-32
13.750,1.732140e-14,3.711749e-32
13.800,1.739266e-14,3.727131e-32
13.850,1.746371e-14,3.742469e-32
13.900,1.753456e-14,3.757764e-32
13.950,1.760521e-14,3.773016e-32
14.000,1.767566e-14,3.788225e-32
14.050,1.774590e-14,3.803390e-32
14.100,1.781595e-14,3.818512e-32
14.150,1.788579e-14,3.833591e-32
14.200,1.795544e-14,3.848627e-32
14.250,1.802488e-14,3.863620e-32
14.300,1.809412e-14,3.878570e-32
14.350,1.816316e-14,3.893477e-32
14.400,1.823201e-14,3.908341e-32
14.450,1.830065e-14,3.923163e-32
14.500,1.836909e-14,3.937942e-32
14.550,1.843734e-14,3.952678e-32
14.600,1.850539e-14,3.967372e-32
14.650,1.857324e-14,3.982024e-32
14.700,1.864089e-14,3.996632e-32
14.750,1.870835e-14,4.011199e-32
14.800,1.877561e-14,4.025724e-32
14.850,1.884267e-14,4.040206e-32
14.900,1.890954e-14,4.054646e-32
14.950,1.897621e-14,4.069044e-32
15.000,1.904269e-14,4.083400e-32
15.050,1.910897e-14,4.097715e-32
15.100,1.917505e-14,4.111987e-32
15.150,1.924095e-14,4.126218e-32
15.200,1.930665e-14,4.140407e-32
15.250,1.937215e-14,4.154555e-32
15.300,1.943746e-14,4.168661e-32
15.350,1.950258e-14,4.182726e-32
15.400,1.956751e-14,4.196749e-32
15.450,1.963225e-14,4.210732e-32
15.500,1.969679e-14,4.224673e-32
15.550,1.976115e-14,4.238573e-32
15.600,1.982531e-14,4.252432e-32
15.650,1.988929e-14,4.266250e-32
15.700,1.995307e-14,4.280028e-32
15.750,2.001667e-14,4.293765e-32
15.800,2.008007e-14,4.307461e-32
15.850,2.014329e-14,4.321117e-32
15.900,2.020632e-14,4.334732e-32
15.950,2.026916e-14,4.348307e-32
16.000,2.033182e-14,4.361842e-32
16.050,2.039429e-14,4.375336e-32
16.100,2.045657e-14,4.388791e-32
16.150,2.051867e-14,4.402205e-32
16.200,2.058058e-14,4.415580e-32
16.250,2.064230e-14,4.428915e-32
16.300,2.070385e-14,4.442210e-32
16.350,2.076520e-14,4.455465e-32
16.400,2.082638e-14,4.468681e-32
16.450,2.088737e-14,4.481858e-32
16.500,2.094818e-14,4.494995e-32
16.550,2.100881e-14,4.508093e-32
16.600,2.106925e-14,4.521152e-32
16.650,2.112951e-14,4.534172e-32
16.700,2.118960e-14,4.547153e-32
16.750,2.124950e-14,4.560095e-32
16.800,2.130922e-14,4.572998e-32
16.850,2.136876e-14,4.585863e-32
16.900,2.142813e-14,4.598689e-32
16.950,2.148731e-14,4.611477e-32
17.000,2.154632e-14,4.624226e-32
17.050,2.160515e-14,4.636937e-32
17.100,2.166380e-14,4.649610e-32
17.150,2.172227e-14,4.662244e-32
17.200,2.178057e-14,4.674841e-32
17.250,2.183869e-14,4.687400e-32
17.300,2.189664e-14,4.699921e-32
17.350,2.195441e-14,4.712404e-32
17.400,2.201201e-14,4.724850e-32
17.450,2.206944e-14,4.737259e-32
17.500,2.212669e-14,4.749629e-32
17.550,2.218376e-14,4.761963e-32
17.600,2.224067e-14,4.774259e-32
17.650,2.229740e-14,4.786519e-32
17.700,2.235396e-14,4.798741e-32
17.750,2.241035e-14,4.810927e-32
17.800,2.246657e-14,4.823075e-32
17.850,2.252262e-14,4.835187e-32
17.900,2.257850e-14,4.847263e-32
17.950,2.263421e-14,4.859301e-32
18.000,2.268975e-14,4.871304e-32
18.050,2.274512e-14,4.883270e-32
18.100,2.280032e-14,4.895200e-32
18.150,2.285536e-14,4.907094e-32
18.200,2.291023e-14,4.918952e-32
18.250,2.296493e-14,4.930774e-32
18.300,2.301947e-14,4.942560e-32
18.350,2.307384e-14,4.954310e-32
18.400,2.312805e-14,4.966025e-32
18.450,2.318209e-14,4.977704e-32
18.500,2.323597e-14,4.989348e-32
18.550,2.328968e-14,5.000957e-32
18.600,2.334323e-14,5.012530e-32
18.650,2.339662e-14,5.024069e-32
18.700,2.344984e-14,5.035572e-32
18.750,2.350291e-14,5.047041e-32
18.800,2.355581e-14,5.058474e-32
18.850,2.360855e-14,5.069873e-32
18.900,2.366113e-14,5.081237e-32
18.950,2.371355e-14,5.092567e-32
19.000,2.376581e-14,5.103863e-32
19.050,2.381791e-14,5.115124e-32
19.100,2.386986e-14,5.126351e-32
19.150,2.392164e-14,5.137544e-32
19.200,2.397327e-14,5.148702e-32
19.250,2.402474e-14,5.159827e-32
19.300,2.407605e-14,5.170918e-32
19.350,2.412721e-14,5.181976e-32
19.400,2.417821e-14,5.193000e-32
19.450,2.422906e-14,5.203990e-32
19.500,2.427975e-14,5.214947e-32
19.550,2.433029e-14,5.225870e-32
19.600,2.438067e-14,5.236761e-32
19.650,2.443090e-14,5.247618e-32
19.700,2.448098e-14,5.258442e-32
19.750,2.453090e-14,5.269234e-32
19.800,2.458067e-14,5.279992e-32
19.850,2.463029e-14,5.290718e-32
19.900,2.467976e-14,5.301411e-32
19.950,2.472908e-14,5.312072e-32
20.000,2.477825e-14,5.322700e-32
