# Vorberechnete Xenon-Ionisationsrate (Biagi/LXCat)
# Te in eV, Kiz in m^3/s
Te_eV,Kiz_m3s
13.550,6.682098e-14
13.600,6.716666e-14
13.650,6.751197e-14
13.700,6.785692e-14
13.750,6.820150e-14
13.800,6.854570e-14
13.850,6.888953e-14
13.900,6.923299e-14
13.950,6.957607e-14
14.000,6.991877e-14
14.050,7.026109e-14
14.100,7.060303e-14
14.150,7.094459e-14
14.200,7.128576e-14
14.250,7.162654e-14
14.300,7.196694e-14
14.350,7.230695e-14
14.400,7.264657e-14
14.450,7.298580e-14
14.500,7.332464e-14
14.550,7.366308e-14
14.600,7.400113e-14
14.650,7.433878e-14
14.700,7.467604e-14
14.750,7.501290e-14
14.800,7.534936e-14
14.850,7.568542e-14
14.900,7.602108e-14
14.950,7.635635e-14
15.000,7.669120e-14
15.050,7.702566e-14
15.100,7.735971e-14
15.150,7.769336e-14
15.200,7.802660e-14
15.250,7.835944e-14
15.300,7.869187e-14
15.350,7.902390e-14
15.400,7.935551e-14
15.450,7.968672e-14
15.500,8.001752e-14
15.550,8.034792e-14
15.600,8.067790e-14
15.650,8.100747e-14
15.700,8.133663e-14
15.750,8.166538e-14
15.800,8.199372e-14
15.850,8.232165e-14
15.900,8.264917e-14
15.950,8.297627e-14
16.000,8.330297e-14
16.050,8.362925e-14
16.100,8.395511e-14
16.150,8.428057e-14
16.200,8.460561e-14
16.250,8.493023e-14
16.300,8.525445e-14
16.350,8.557825e-14
16.400,8.590163e-14
16.450,8.622460e-14
16.500,8.654716e-14
16.550,8.686930e-14
16.600,8.719103e-14
16.650,8.751235e-14
16.700,8.783325e-14
16.750,8.815373e-14
16.800,8.847380e-14
16.850,8.879346e-14
16.900,8.911270e-14
16.950,8.943153e-14
17.000,8.974994e-14
17.050,9.006794e-14
17.100,9.038553e-14
17.150,9.070270e-14
17.200,9.101945e-14
17.250,9.133580e-14
17.300,9.165173e-14
17.350,9.196724e-14
17.400,9.228235e-14
17.450,9.259704e-14
17.500,9.291131e-14
17.550,9.322518e-14
17.600,9.353863e-14
17.650,9.385167e-14
17.700,9.416430e-14
17.750,9.447651e-14
17.800,9.478831e-14
17.850,9.509971e-14
17.900,9.541069e-14
17.950,9.572126e-14
18.000,9.603142e-14
18.050,9.634117e-14
18.100,9.665051e-14
18.150,9.695944e-14
18.200,9.726796e-14
18.250,9.757607e-14
18.300,9.788377e-14
18.350,9.819106e-14
18.400,9.849795e-14
18.450,9.880443e-14
18.500,9.911050e-14
18.550,9.941616e-14
18.600,9.972142e-14
18.650,1.000263e-13
18.700,1.003307e-13
18.750,1.006348e-13
18.800,1.009384e-13
18.850,1.012416e-13
18.900,1.015444e-13
18.950,1.018469e-13
19.000,1.021489e-13
19.050,1.024505e-13
19.100,1.027517e-13
19.150,1.030525e-13
19.200,1.033529e-13
19.250,1.036530e-13
19.300,1.039526e-13
19.350,1.042518e-13
19.400,1.045506e-13
19.450,1.048490e-13
19.500,1.051470e-13
19.550,1.054446e-13
19.600,1.057418e-13
19.650,1.060386e-13
19.700,1.063350e-13
19.750,1.066311e-13
19.800,1.069267e-13
19.850,1.072219e-13
19.900,1.075168e-13
19.950,1.078112e-13
20.000,1.081052e-13
