# Excitation rates (biagi_v7_1, 4 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
8.350,1.358345e-14,2.520601e-32
8.400,1.371480e-14,2.545442e-32
8.450,1.384593e-14,2.570247e-32
8.500,1.397683e-14,2.595014e-32
8.550,1.410750e-14,2.619743e-32
8.600,1.423792e-14,2.644432e-32
8.650,1.436811e-14,2.669081e-32
8.700,1.449805e-14,2.693688e-32
8.750,1.462774e-14,2.718254e-32
8.800,1.475717e-14,2.742776e-32
8.850,1.488635e-14,2.767255e-32
8.900,1.501526e-14,2.791689e-32
8.950,1.514390e-14,2.816078e-32
9.000,1.527228e-14,2.840421e-32
9.050,1.540038e-14,2.864717e-32
9.100,1.552821e-14,2.888966e-32
9.150,1.565576e-14,2.913166e-32
9.200,1.578302e-14,2.937318e-32
9.250,1.591000e-14,2.961421e-32
9.300,1.603669e-14,2.985474e-32
9.350,1.616309e-14,3.009476e-32
9.400,1.628920e-14,3.033427e-32
9.450,1.641501e-14,3.057327e-32
9.500,1.654052e-14,3.081175e-32
9.550,1.666573e-14,3.104970e-32
9.600,1.679063e-14,3.128712e-32
9.650,1.691523e-14,3.152400e-32
9.700,1.703953e-14,3.176035e-32
9.750,1.716351e-14,3.199615e-32
9.800,1.728718e-14,3.223141e-32
9.850,1.741054e-14,3.246611e-32
9.900,1.753359e-14,3.270026e-32
9.950,1.765631e-14,3.293384e-32
10.000,1.777872e-14,3.316687e-32
10.050,1.790082e-14,3.339933e-32
10.100,1.802259e-14,3.363122e-32
10.150,1.814403e-14,3.386254e-32
10.200,1.826516e-14,3.409329e-32
10.250,1.838596e-14,3.432345e-32
10.300,1.850643e-14,3.455304e-32
10.350,1.862658e-14,3.478204e-32
10.400,1.874640e-14,3.501046e-32
10.450,1.886589e-14,3.523829e-32
10.500,1.898505e-14,3.546553e-32
10.550,1.910388e-14,3.569218e-32
10.600,1.922238e-14,3.591824e-32
10.650,1.934054e-14,3.614370e-32
10.700,1.945838e-14,3.636856e-32
10.750,1.957588e-14,3.659282e-32
10.800,1.969305e-14,3.681649e-32
10.850,1.980988e-14,3.703955e-32
10.900,1.992638e-14,3.726201e-32
10.950,2.004254e-14,3.748386e-32
11.000,2.015836e-14,3.770511e-32
11.050,2.027385e-14,3.792575e-32
11.100,2.038901e-14,3.814578e-32
11.150,2.050382e-14,3.836521e-32
11.200,2.061830e-14,3.858403e-32
11.250,2.073245e-14,3.880223e-32
11.300,2.084625e-14,3.901983e-32
11.350,2.095972e-14,3.923681e-32
11.400,2.107285e-14,3.945318e-32
11.450,2.118565e-14,3.966894e-32
11.500,2.129810e-14,3.988409e-32
11.550,2.141022e-14,4.009863e-32
11.600,2.152200e-14,4.031255e-32
11.650,2.163345e-14,4.052585e-32
11.700,2.174455e-14,4.073855e-32
11.750,2.185532e-14,4.095063e-32
11.800,2.196576e-14,4.116209e-32
11.850,2.207585e-14,4.137295e-32
11.900,2.218561e-14,4.158318e-32
11.950,2.229504e-14,4.179281e-32
12.000,2.240413e-14,4.200182e-32
12.050,2.251288e-14,4.221022e-32
12.100,2.262130e-14,4.241801e-32
12.150,2.272938e-14,4.262518e-32
12.200,2.283713e-14,4.283175e-32
12.250,2.294455e-14,4.303770e-32
12.300,2.305163e-14,4.324304e-32
12.350,2.315838e-14,4.344777e-32
12.400,2.326479e-14,4.365189e-32
12.450,2.337088e-14,4.385540e-32
12.500,2.347663e-14,4.405830e-32
12.550,2.358205e-14,4.426059e-32
12.600,2.368714e-14,4.446228e-32
12.650,2.379190e-14,4.466336e-32
12.700,2.389633e-14,4.486384e-32
12.750,2.400043e-14,4.506371e-32
12.800,2.410421e-14,4.526297e-32
12.850,2.420765e-14,4.546164e-32
12.900,2.431077e-14,4.565970e-32
12.950,2.441356e-14,4.585716e-32
13.000,2.451603e-14,4.605402e-32
13.050,2.461817e-14,4.625028e-32
13.100,2.471999e-14,4.644594e-32
13.150,2.482148e-14,4.664101e-32
13.200,2.492266e-14,4.683548e-32
13.250,2.502350e-14,4.702935e-32
13.300,2.512403e-14,4.722263e-32
13.350,2.522424e-14,4.741532e-32
13.400,2.532413e-14,4.760742e-32
13.450,2.542369e-14,4.779892e-32
13.500,2.552294e-14,4.798984e-32
13.550,2.562187e-14,4.818017e-32
13.600,2.572049e-14,4.836992e-32
13.650,2.581879e-14,4.855908e-32
13.700,2.591677e-14,4.874765e-32
13.750,2.601444e-14,4.893564e-32
13.800,2.611180e-14,4.912305e-32
13.850,2.620884e-14,4.930989e-32
13.900,2.630557e-14,4.949614e-32
13.950,2.640199e-14,4.968182e-32
14.000,2.649810e-14,4.986692e-32
14.050,2.659390e-14,5.005144e-32
14.100,2.668939e-14,5.023540e-32
14.150,2.678458e-14,5.041878e-32
14.200,2.687946e-14,5.060159e-32
14.250,2.697403e-14,5.078384e-32
14.300,2.706830e-14,5.096552e-32
14.350,2.716226e-14,5.114663e-32
14.400,2.725592e-14,5.132718e-32
14.450,2.734928e-14,5.150717e-32
14.500,2.744233e-14,5.168659e-32
14.550,2.753509e-14,5.186546e-32
14.600,2.762755e-14,5.204377e-32
14.650,2.771970e-14,5.222152e-32
14.700,2.781156e-14,5.239872e-32
14.750,2.790313e-14,5.257536e-32
14.800,2.799440e-14,5.275146e-32
14.850,2.808537e-14,5.292700e-32
14.900,2.817605e-14,5.310199e-32
14.950,2.826643e-14,5.327644e-32
15.000,2.835653e-14,5.345035e-32
15.050,2.844633e-14,5.362371e-32
15.100,2.853584e-14,5.379653e-32
15.150,2.862507e-14,5.396881e-32
15.200,2.871400e-14,5.414055e-32
15.250,2.880265e-14,5.431175e-32
15.300,2.889101e-14,5.448242e-32
15.350,2.897909e-14,5.465255e-32
15.400,2.906688e-14,5.482215e-32
15.450,2.915439e-14,5.499123e-32
15.500,2.924161e-14,5.515977e-32
15.550,2.932856e-14,5.532779e-32
15.600,2.941522e-14,5.549528e-32
15.650,2.950160e-14,5.566225e-32
15.700,2.958771e-14,5.582869e-32
15.750,2.967354e-14,5.599462e-32
15.800,2.975909e-14,5.616002e-32
15.850,2.984436e-14,5.632491e-32
15.900,2.992936e-14,5.648929e-32
15.950,3.001409e-14,5.665315e-32
16.000,3.009854e-14,5.681650e-32
16.050,3.018272e-14,5.697934e-32
16.100,3.026663e-14,5.714167e-32
16.150,3.035027e-14,5.730349e-32
16.200,3.043363e-14,5.746481e-32
16.250,3.051674e-14,5.762562e-32
16.300,3.059957e-14,5.778594e-32
16.350,3.068214e-14,5.794575e-32
16.400,3.076444e-14,5.810506e-32
16.450,3.084648e-14,5.826388e-32
16.500,3.092825e-14,5.842220e-32
16.550,3.100976e-14,5.858003e-32
16.600,3.109101e-14,5.873737e-32
16.650,3.117200e-14,5.889421e-32
16.700,3.125273e-14,5.905057e-32
16.750,3.133320e-14,5.920644e-32
16.800,3.141342e-14,5.936183e-32
16.850,3.149337e-14,5.951673e-32
16.900,3.157307e-14,5.967116e-32
16.950,3.165252e-14,5.982510e-32
17.000,3.173171e-14,5.997856e-32
17.050,3.181064e-14,6.013155e-32
17.100,3.188933e-14,6.028406e-32
17.150,3.196776e-14,6.043610e-32
17.200,3.204595e-14,6.058766e-32
17.250,3.212388e-14,6.073876e-32
