# Elastic rate (biagi_v7_1)
Te_eV,Kel_m3s
13.700,1.925080e-13
13.750,1.923170e-13
13.800,1.921257e-13
13.850,1.919341e-13
13.900,1.917422e-13
13.950,1.915501e-13
14.000,1.913576e-13
14.050,1.911649e-13
14.100,1.909720e-13
14.150,1.907789e-13
14.200,1.905855e-13
14.250,1.903919e-13
14.300,1.901982e-13
14.350,1.900042e-13
14.400,1.898101e-13
14.450,1.896159e-13
14.500,1.894215e-13
14.550,1.892270e-13
14.600,1.890323e-13
14.650,1.888376e-13
14.700,1.886427e-13
14.750,1.884478e-13
14.800,1.882528e-13
14.850,1.880577e-13
14.900,1.878625e-13
14.950,1.876673e-13
15.000,1.874721e-13
15.050,1.872768e-13
15.100,1.870815e-13
15.150,1.868862e-13
15.200,1.866909e-13
15.250,1.864956e-13
15.300,1.863003e-13
15.350,1.861051e-13
15.400,1.859098e-13
15.450,1.857146e-13
15.500,1.855195e-13
15.550,1.853243e-13
15.600,1.851293e-13
15.650,1.849343e-13
15.700,1.847394e-13
15.750,1.845445e-13
15.800,1.843498e-13
15.850,1.841551e-13
15.900,1.839606e-13
15.950,1.837661e-13
16.000,1.835718e-13
16.050,1.833776e-13
16.100,1.831835e-13
16.150,1.829895e-13
16.200,1.827956e-13
16.250,1.826020e-13
16.300,1.824084e-13
16.350,1.822150e-13
16.400,1.820218e-13
16.450,1.818287e-13
16.500,1.816358e-13
16.550,1.814431e-13
16.600,1.812505e-13
16.650,1.810581e-13
16.700,1.808659e-13
16.750,1.806740e-13
16.800,1.804822e-13
16.850,1.802906e-13
16.900,1.800992e-13
16.950,1.799080e-13
17.000,1.797170e-13
17.050,1.795263e-13
17.100,1.793357e-13
17.150,1.791454e-13
17.200,1.789553e-13
17.250,1.787655e-13
17.300,1.785759e-13
17.350,1.783865e-13
17.400,1.781974e-13
17.450,1.780085e-13
17.500,1.778198e-13
17.550,1.776315e-13
17.600,1.774433e-13
17.650,1.772555e-13
17.700,1.770678e-13
17.750,1.768805e-13
17.800,1.766934e-13
17.850,1.765066e-13
17.900,1.763201e-13
17.950,1.761338e-13
18.000,1.759479e-13
18.050,1.757622e-13
18.100,1.755767e-13
18.150,1.753916e-13
18.200,1.752068e-13
18.250,1.750222e-13
18.300,1.748380e-13
18.350,1.746540e-13
18.400,1.744703e-13
18.450,1.742869e-13
18.500,1.741039e-13
18.550,1.739211e-13
18.600,1.737386e-13
18.650,1.735565e-13
18.700,1.733746e-13
18.750,1.731931e-13
18.800,1.730119e-13
18.850,1.728310e-13
18.900,1.726504e-13
18.950,1.724701e-13
19.000,1.722901e-13
19.050,1.721105e-13
19.100,1.719311e-13
