# Ionisation rate (puech)
Te_eV,Kiz_m3s
13.700,2.833108e-14
13.750,2.850212e-14
13.800,2.867306e-14
13.850,2.884388e-14
13.900,2.901459e-14
13.950,2.918518e-14
14.000,2.935565e-14
14.050,2.952600e-14
14.100,2.969623e-14
14.150,2.986633e-14
14.200,3.003630e-14
14.250,3.020614e-14
14.300,3.037585e-14
14.350,3.054542e-14
14.400,3.071486e-14
14.450,3.088416e-14
14.500,3.105331e-14
14.550,3.122233e-14
14.600,3.139120e-14
14.650,3.155993e-14
14.700,3.172850e-14
14.750,3.189693e-14
14.800,3.206521e-14
14.850,3.223333e-14
14.900,3.240130e-14
14.950,3.256911e-14
15.000,3.273676e-14
15.050,3.290426e-14
15.100,3.307159e-14
15.150,3.323876e-14
15.200,3.340577e-14
15.250,3.357261e-14
15.300,3.373928e-14
15.350,3.390579e-14
15.400,3.407212e-14
15.450,3.423829e-14
15.500,3.440428e-14
15.550,3.457010e-14
15.600,3.473574e-14
15.650,3.490121e-14
15.700,3.506650e-14
15.750,3.523161e-14
15.800,3.539654e-14
15.850,3.556129e-14
15.900,3.572586e-14
15.950,3.589024e-14
16.000,3.605444e-14
16.050,3.621846e-14
16.100,3.638229e-14
16.150,3.654593e-14
16.200,3.670938e-14
16.250,3.687264e-14
16.300,3.703572e-14
16.350,3.719860e-14
16.400,3.736129e-14
16.450,3.752378e-14
16.500,3.768608e-14
16.550,3.784819e-14
16.600,3.801010e-14
16.650,3.817181e-14
16.700,3.833333e-14
16.750,3.849465e-14
16.800,3.865577e-14
16.850,3.881668e-14
16.900,3.897740e-14
16.950,3.913792e-14
17.000,3.929824e-14
17.050,3.945835e-14
17.100,3.961826e-14
17.150,3.977796e-14
17.200,3.993746e-14
17.250,4.009675e-14
17.300,4.025584e-14
17.350,4.041472e-14
17.400,4.057340e-14
17.450,4.073186e-14
17.500,4.089012e-14
17.550,4.104817e-14
17.600,4.120601e-14
17.650,4.136364e-14
17.700,4.152105e-14
17.750,4.167826e-14
17.800,4.183525e-14
17.850,4.199204e-14
17.900,4.214861e-14
17.950,4.230496e-14
18.000,4.246111e-14
18.050,4.261703e-14
18.100,4.277275e-14
18.150,4.292825e-14
18.200,4.308353e-14
18.250,4.323860e-14
18.300,4.339345e-14
18.350,4.354808e-14
18.400,4.370250e-14
18.450,4.385670e-14
18.500,4.401068e-14
18.550,4.416445e-14
18.600,4.431799e-14
18.650,4.447132e-14
18.700,4.462443e-14
18.750,4.477732e-14
18.800,4.492998e-14
18.850,4.508243e-14
18.900,4.523466e-14
18.950,4.538667e-14
19.000,4.553845e-14
19.050,4.569002e-14
19.100,4.584136e-14
19.150,4.599248e-14
19.200,4.614338e-14
19.250,4.629406e-14
19.300,4.644451e-14
19.350,4.659474e-14
19.400,4.674475e-14
19.450,4.689453e-14
19.500,4.704410e-14
19.550,4.719343e-14
19.600,4.734255e-14
19.650,4.749144e-14
19.700,4.764010e-14
19.750,4.778854e-14
19.800,4.793676e-14
19.850,4.808475e-14
19.900,4.823251e-14
19.950,4.838005e-14
20.000,4.852737e-14
