# Excitation rates (biagi, 44 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,4.345625e-25,8.162083e-43
0.550,3.681659e-24,6.933037e-42
0.600,2.202259e-23,4.159471e-41
0.650,1.008157e-22,1.910358e-40
0.700,3.740652e-22,7.112814e-40
0.750,1.173112e-21,2.238707e-39
0.800,3.208612e-21,6.145577e-39
0.850,7.838952e-21,1.506913e-38
0.900,1.742661e-20,3.362043e-38
0.950,3.577069e-20,6.925275e-38
1.000,6.859200e-20,1.332448e-37
1.050,1.240390e-19,2.417367e-37
1.100,2.131796e-19,4.167474e-37
1.150,3.504443e-19,6.871050e-37
1.200,5.539928e-19,1.089228e-36
1.250,8.459812e-19,1.667710e-36
1.300,1.252716e-18,2.475680e-36
1.350,1.804692e-18,3.574924e-36
1.400,2.536513e-18,5.035761e-36
1.450,3.486704e-18,6.936707e-36
1.500,4.697431e-18,9.363931e-36
1.550,6.214141e-18,1.241054e-35
1.600,8.085135e-18,1.617575e-35
1.650,1.036110e-17,2.076392e-35
1.700,1.309461e-17,2.628354e-35
1.750,1.633963e-17,3.284622e-35
1.800,2.015096e-17,4.056558e-35
1.850,2.458379e-17,4.955628e-35
1.900,2.969319e-17,5.993298e-35
1.950,3.553366e-17,7.180942e-35
2.000,4.215871e-17,8.529755e-35
2.050,4.962052e-17,1.005067e-34
2.100,5.796955e-17,1.175430e-34
2.150,6.725428e-17,1.365086e-34
2.200,7.752095e-17,1.575011e-34
2.250,8.881335e-17,1.806133e-34
2.300,1.011726e-16,2.059327e-34
2.350,1.146372e-16,2.335410e-34
2.400,1.292426e-16,2.635144e-34
2.450,1.450215e-16,2.959229e-34
2.500,1.620034e-16,3.308306e-34
2.550,1.802152e-16,3.682952e-34
2.600,1.996804e-16,4.083686e-34
2.650,2.204200e-16,4.510966e-34
2.700,2.424519e-16,4.965189e-34
2.750,2.657911e-16,5.446695e-34
2.800,2.904501e-16,5.955767e-34
2.850,3.164387e-16,6.492634e-34
2.900,3.437640e-16,7.057471e-34
2.950,3.724310e-16,7.650402e-34
3.000,4.024421e-16,8.271504e-34
3.050,4.337975e-16,8.920806e-34
3.100,4.664957e-16,9.598296e-34
3.150,5.005327e-16,1.030392e-33
3.200,5.359031e-16,1.103757e-33
3.250,5.725996e-16,1.179914e-33
3.300,6.106133e-16,1.258845e-33
3.350,6.499338e-16,1.340530e-33
3.400,6.905493e-16,1.424947e-33
3.450,7.324468e-16,1.512071e-33
3.500,7.756122e-16,1.601874e-33
3.550,8.200302e-16,1.694326e-33
3.600,8.656846e-16,1.789394e-33
3.650,9.125582e-16,1.887045e-33
3.700,9.606332e-16,1.987242e-33
3.750,1.009891e-15,2.089948e-33
3.800,1.060312e-15,2.195125e-33
3.850,1.111878e-15,2.302732e-33
3.900,1.164566e-15,2.412728e-33
3.950,1.218358e-15,2.525072e-33
4.000,1.273231e-15,2.639721e-33
4.050,1.329165e-15,2.756630e-33
4.100,1.386138e-15,2.875756e-33
4.150,1.444129e-15,2.997055e-33
4.200,1.503114e-15,3.120481e-33
4.250,1.563073e-15,3.245989e-33
4.300,1.623983e-15,3.373535e-33
4.350,1.685823e-15,3.503071e-33
4.400,1.748570e-15,3.634554e-33
4.450,1.812201e-15,3.767937e-33
4.500,1.876696e-15,3.903175e-33
4.550,1.942032e-15,4.040223e-33
4.600,2.008188e-15,4.179035e-33
4.650,2.075142e-15,4.319568e-33
4.700,2.142872e-15,4.461776e-33
4.750,2.211357e-15,4.605615e-33
4.800,2.280576e-15,4.751042e-33
4.850,2.350509e-15,4.898013e-33
4.900,2.421134e-15,5.046485e-33
4.950,2.492432e-15,5.196416e-33
5.000,2.564381e-15,5.347763e-33
5.050,2.636963e-15,5.500485e-33
5.100,2.710157e-15,5.654542e-33
5.150,2.783944e-15,5.809892e-33
5.200,2.858306e-15,5.966496e-33
5.250,2.933222e-15,6.124314e-33
5.300,3.008675e-15,6.283307e-33
5.350,3.084646e-15,6.443437e-33
5.400,3.161118e-15,6.604667e-33
5.450,3.238072e-15,6.766959e-33
5.500,3.315491e-15,6.930277e-33
5.550,3.393359e-15,7.094585e-33
5.600,3.471658e-15,7.259847e-33
5.650,3.550371e-15,7.426029e-33
5.700,3.629483e-15,7.593096e-33
5.750,3.708978e-15,7.761016e-33
5.800,3.788840e-15,7.929755e-33
5.850,3.869053e-15,8.099280e-33
5.900,3.949602e-15,8.269561e-33
5.950,4.030473e-15,8.440565e-33
6.000,4.111652e-15,8.612262e-33
6.050,4.193123e-15,8.784622e-33
6.100,4.274873e-15,8.957616e-33
6.150,4.356888e-15,9.131214e-33
6.200,4.439155e-15,9.305388e-33
6.250,4.521661e-15,9.480110e-33
6.300,4.604392e-15,9.655354e-33
6.350,4.687337e-15,9.831091e-33
6.400,4.770482e-15,1.000730e-32
6.450,4.853816e-15,1.018395e-32
6.500,4.937327e-15,1.036101e-32
6.550,5.021003e-15,1.053847e-32
6.600,5.104833e-15,1.071630e-32
6.650,5.188806e-15,1.089447e-32
6.700,5.272911e-15,1.107296e-32
6.750,5.357137e-15,1.125175e-32
6.800,5.441474e-15,1.143082e-32
6.850,5.525911e-15,1.161014e-32
6.900,5.610440e-15,1.178970e-32
6.950,5.695049e-15,1.196947e-32
7.000,5.779730e-15,1.214944e-32
7.050,5.864473e-15,1.232957e-32
7.100,5.949270e-15,1.250986e-32
7.150,6.034111e-15,1.269029e-32
7.200,6.118987e-15,1.287083e-32
7.250,6.203891e-15,1.305147e-32
7.300,6.288813e-15,1.323219e-32
7.350,6.373747e-15,1.341297e-32
7.400,6.458683e-15,1.359380e-32
7.450,6.543615e-15,1.377466e-32
7.500,6.628535e-15,1.395553e-32
7.550,6.713435e-15,1.413640e-32
7.600,6.798309e-15,1.431725e-32
7.650,6.883150e-15,1.449807e-32
7.700,6.967950e-15,1.467884e-32
7.750,7.052703e-15,1.485955e-32
7.800,7.137403e-15,1.504018e-32
7.850,7.222044e-15,1.522072e-32
7.900,7.306618e-15,1.540116e-32
7.950,7.391122e-15,1.558149e-32
8.000,7.475547e-15,1.576169e-32
8.050,7.559890e-15,1.594174e-32
8.100,7.644144e-15,1.612165e-32
8.150,7.728305e-15,1.630139e-32
8.200,7.812366e-15,1.648096e-32
8.250,7.896323e-15,1.666034e-32
8.300,7.980171e-15,1.683952e-32
8.350,8.063906e-15,1.701850e-32
8.400,8.147522e-15,1.719725e-32
