# Ionisation rate (biagi)
Te_eV,Kiz_m3s
13.700,2.958348e-14
13.750,2.976665e-14
13.800,2.994973e-14
13.850,3.013272e-14
13.900,3.031561e-14
13.950,3.049839e-14
14.000,3.068107e-14
14.050,3.086364e-14
14.100,3.104610e-14
14.150,3.122844e-14
14.200,3.141066e-14
14.250,3.159276e-14
14.300,3.177473e-14
14.350,3.195657e-14
14.400,3.213828e-14
14.450,3.231985e-14
14.500,3.250129e-14
14.550,3.268258e-14
14.600,3.286373e-14
14.650,3.304474e-14
14.700,3.322559e-14
14.750,3.340629e-14
14.800,3.358683e-14
14.850,3.376721e-14
14.900,3.394744e-14
14.950,3.412750e-14
15.000,3.430739e-14
15.050,3.448712e-14
15.100,3.466667e-14
15.150,3.484605e-14
15.200,3.502525e-14
15.250,3.520428e-14
15.300,3.538312e-14
15.350,3.556178e-14
15.400,3.574026e-14
15.450,3.591855e-14
15.500,3.609665e-14
15.550,3.627456e-14
15.600,3.645227e-14
15.650,3.662979e-14
15.700,3.680711e-14
15.750,3.698423e-14
15.800,3.716114e-14
15.850,3.733786e-14
15.900,3.751437e-14
15.950,3.769067e-14
16.000,3.786677e-14
16.050,3.804265e-14
16.100,3.821832e-14
16.150,3.839377e-14
16.200,3.856902e-14
16.250,3.874404e-14
16.300,3.891884e-14
16.350,3.909343e-14
16.400,3.926779e-14
16.450,3.944193e-14
16.500,3.961585e-14
16.550,3.978954e-14
16.600,3.996300e-14
16.650,4.013623e-14
16.700,4.030923e-14
16.750,4.048201e-14
16.800,4.065455e-14
16.850,4.082685e-14
16.900,4.099892e-14
16.950,4.117076e-14
17.000,4.134236e-14
17.050,4.151372e-14
17.100,4.168484e-14
17.150,4.185572e-14
17.200,4.202636e-14
17.250,4.219676e-14
17.300,4.236691e-14
17.350,4.253682e-14
17.400,4.270649e-14
17.450,4.287591e-14
17.500,4.304508e-14
17.550,4.321401e-14
17.600,4.338268e-14
17.650,4.355111e-14
17.700,4.371929e-14
17.750,4.388722e-14
17.800,4.405490e-14
17.850,4.422233e-14
17.900,4.438950e-14
17.950,4.455642e-14
18.000,4.472309e-14
18.050,4.488950e-14
18.100,4.505566e-14
18.150,4.522156e-14
18.200,4.538721e-14
18.250,4.555260e-14
18.300,4.571773e-14
18.350,4.588261e-14
18.400,4.604723e-14
18.450,4.621159e-14
18.500,4.637569e-14
18.550,4.653954e-14
18.600,4.670312e-14
18.650,4.686645e-14
18.700,4.702951e-14
18.750,4.719232e-14
18.800,4.735486e-14
18.850,4.751715e-14
18.900,4.767917e-14
18.950,4.784093e-14
19.000,4.800244e-14
19.050,4.816368e-14
19.100,4.832465e-14
19.150,4.848537e-14
19.200,4.864582e-14
19.250,4.880602e-14
19.300,4.896595e-14
19.350,4.912561e-14
19.400,4.928502e-14
19.450,4.944416e-14
19.500,4.960304e-14
19.550,4.976166e-14
19.600,4.992001e-14
19.650,5.007810e-14
19.700,5.023593e-14
19.750,5.039350e-14
19.800,5.055080e-14
19.850,5.070784e-14
19.900,5.086462e-14
19.950,5.102114e-14
20.000,5.117739e-14
