# Excitation rates (ist_lisbon, 37 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
8.350,7.912531e-15,1.687005e-32
8.400,7.984669e-15,1.702523e-32
8.450,8.056529e-15,1.717983e-32
8.500,8.128107e-15,1.733384e-32
8.550,8.199402e-15,1.748725e-32
8.600,8.270411e-15,1.764007e-32
8.650,8.341134e-15,1.779228e-32
8.700,8.411568e-15,1.794389e-32
8.750,8.481712e-15,1.809489e-32
8.800,8.551564e-15,1.824528e-32
8.850,8.621123e-15,1.839506e-32
8.900,8.690388e-15,1.854421e-32
8.950,8.759358e-15,1.869275e-32
9.000,8.828031e-15,1.884066e-32
9.050,8.896407e-15,1.898795e-32
9.100,8.964485e-15,1.913461e-32
9.150,9.032264e-15,1.928064e-32
9.200,9.099744e-15,1.942604e-32
9.250,9.166923e-15,1.957081e-32
9.300,9.233802e-15,1.971494e-32
9.350,9.300380e-15,1.985844e-32
9.400,9.366657e-15,2.000131e-32
9.450,9.432632e-15,2.014354e-32
9.500,9.498306e-15,2.028513e-32
9.550,9.563677e-15,2.042609e-32
9.600,9.628747e-15,2.056640e-32
9.650,9.693515e-15,2.070609e-32
9.700,9.757982e-15,2.084513e-32
9.750,9.822147e-15,2.098354e-32
9.800,9.886010e-15,2.112131e-32
9.850,9.949572e-15,2.125844e-32
9.900,1.001283e-14,2.139494e-32
9.950,1.007580e-14,2.153080e-32
10.000,1.013846e-14,2.166603e-32
10.050,1.020082e-14,2.180063e-32
10.100,1.026288e-14,2.193459e-32
10.150,1.032465e-14,2.206792e-32
10.200,1.038611e-14,2.220062e-32
10.250,1.044728e-14,2.233270e-32
10.300,1.050816e-14,2.246414e-32
10.350,1.056874e-14,2.259496e-32
10.400,1.062902e-14,2.272516e-32
10.450,1.068901e-14,2.285473e-32
10.500,1.074871e-14,2.298368e-32
10.550,1.080811e-14,2.311201e-32
10.600,1.086722e-14,2.323972e-32
10.650,1.092605e-14,2.336682e-32
10.700,1.098458e-14,2.349331e-32
10.750,1.104283e-14,2.361918e-32
10.800,1.110078e-14,2.374444e-32
10.850,1.115846e-14,2.386910e-32
10.900,1.121584e-14,2.399315e-32
10.950,1.127295e-14,2.411660e-32
11.000,1.132977e-14,2.423945e-32
11.050,1.138631e-14,2.436170e-32
11.100,1.144256e-14,2.448335e-32
11.150,1.149854e-14,2.460441e-32
11.200,1.155424e-14,2.472488e-32
11.250,1.160967e-14,2.484476e-32
11.300,1.166482e-14,2.496406e-32
11.350,1.171969e-14,2.508277e-32
11.400,1.177429e-14,2.520090e-32
11.450,1.182862e-14,2.531846e-32
11.500,1.188268e-14,2.543544e-32
11.550,1.193647e-14,2.555185e-32
11.600,1.198999e-14,2.566769e-32
11.650,1.204325e-14,2.578296e-32
11.700,1.209624e-14,2.589767e-32
11.750,1.214897e-14,2.601181e-32
11.800,1.220143e-14,2.612540e-32
11.850,1.225363e-14,2.623843e-32
11.900,1.230558e-14,2.635091e-32
11.950,1.235727e-14,2.646284e-32
12.000,1.240869e-14,2.657423e-32
12.050,1.245987e-14,2.668507e-32
12.100,1.251079e-14,2.679537e-32
12.150,1.256146e-14,2.690513e-32
12.200,1.261187e-14,2.701435e-32
