# Excitation rates (morgan, 2 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,1.660840e-23,2.639672e-41
0.550,9.782998e-23,1.554870e-40
0.600,4.313099e-22,6.855063e-40
0.650,1.521337e-21,2.417951e-39
0.700,4.502004e-21,7.155301e-39
0.750,1.157301e-20,1.839367e-38
0.800,2.652752e-20,4.216175e-38
0.850,5.531731e-20,8.791907e-38
0.900,1.065955e-19,1.694185e-37
0.950,1.921883e-19,3.054563e-37
1.000,3.274680e-19,5.204642e-37
1.050,5.316194e-19,8.449340e-37
1.100,8.278117e-19,1.315690e-36
1.150,1.243292e-18,1.976037e-36
1.200,1.809420e-18,2.875818e-36
1.250,2.561662e-18,4.071401e-36
1.300,3.539547e-18,5.625612e-36
1.350,4.786589e-18,7.607609e-36
1.400,6.350170e-18,1.009270e-35
1.450,8.281380e-18,1.316209e-35
1.500,1.063480e-17,1.690252e-35
1.550,1.346824e-17,2.140586e-35
1.600,1.684237e-17,2.676858e-35
1.650,2.082040e-17,3.309109e-35
1.700,2.546755e-17,4.047708e-35
1.750,3.085063e-17,4.903273e-35
1.800,3.703748e-17,5.886585e-35
1.850,4.409645e-17,7.008509e-35
1.900,5.209585e-17,8.279901e-35
1.950,6.110338e-17,9.711521e-35
2.000,7.118565e-17,1.131396e-34
2.050,8.240763e-17,1.309753e-34
2.100,9.483223e-17,1.507225e-34
2.150,1.085198e-16,1.724770e-34
2.200,1.235280e-16,1.963303e-34
2.250,1.399109e-16,2.223687e-34
2.300,1.577195e-16,2.506729e-34
2.350,1.770009e-16,2.813179e-34
2.400,1.977982e-16,3.143724e-34
2.450,2.201508e-16,3.498986e-34
2.500,2.440937e-16,3.879525e-34
2.550,2.696580e-16,4.285834e-34
2.600,2.968706e-16,4.718340e-34
2.650,3.257543e-16,5.177405e-34
2.700,3.563278e-16,5.663328e-34
2.750,3.886060e-16,6.176344e-34
2.800,4.225999e-16,6.716630e-34
2.850,4.583168e-16,7.284300e-34
2.900,4.957605e-16,7.879415e-34
2.950,5.349314e-16,8.501982e-34
3.000,5.758267e-16,9.151955e-34
3.050,6.184406e-16,9.829241e-34
3.100,6.627642e-16,1.053370e-33
3.150,7.087861e-16,1.126516e-33
3.200,7.564926e-16,1.202338e-33
3.250,8.058672e-16,1.280812e-33
3.300,8.568918e-16,1.361909e-33
3.350,9.095459e-16,1.445595e-33
3.400,9.638074e-16,1.531836e-33
3.450,1.019653e-15,1.620594e-33
3.500,1.077056e-15,1.711829e-33
3.550,1.135992e-15,1.805498e-33
3.600,1.196431e-15,1.901558e-33
3.650,1.258346e-15,1.999963e-33
3.700,1.321706e-15,2.100666e-33
