# Ionisation rate (morgan)
Te_eV,Kiz_m3s
0.500,9.895967e-27
0.550,1.228297e-25
0.600,1.004354e-24
0.650,5.977082e-24
0.700,2.777817e-23
0.750,1.060821e-22
0.800,3.456266e-22
0.850,9.882022e-22
0.900,2.533556e-21
0.950,5.923319e-21
1.000,1.279797e-20
1.050,2.583014e-20
1.100,4.912924e-20
1.150,8.870432e-20
1.200,1.529653e-19
1.250,2.532381e-19
1.300,4.042678e-19
1.350,6.246844e-19
1.400,9.374096e-19
1.450,1.369986e-18
1.500,1.954819e-18
1.550,2.729317e-18
1.600,3.735940e-18
1.650,5.022150e-18
1.700,6.640268e-18
1.750,8.647255e-18
1.800,1.110442e-17
1.850,1.407709e-17
1.900,1.763416e-17
1.950,2.184774e-17
2.000,2.679264e-17
2.050,3.254594e-17
2.100,3.918649e-17
2.150,4.679448e-17
2.200,5.545095e-17
2.250,6.523739e-17
2.300,7.623529e-17
2.350,8.852578e-17
2.400,1.021892e-16
2.450,1.173049e-16
2.500,1.339508e-16
2.550,1.522030e-16
2.600,1.721361e-16
2.650,1.938221e-16
2.700,2.173310e-16
2.750,2.427302e-16
2.800,2.700844e-16
2.850,2.994559e-16
2.900,3.309037e-16
2.950,3.644844e-16
3.000,4.002512e-16
3.050,4.382547e-16
3.100,4.785422e-16
3.150,5.211582e-16
3.200,5.661442e-16
3.250,6.135386e-16
3.300,6.633769e-16
3.350,7.156919e-16
3.400,7.705133e-16
3.450,8.278681e-16
3.500,8.877806e-16
3.550,9.502724e-16
3.600,1.015363e-15
3.650,1.083067e-15
3.700,1.153401e-15
3.750,1.226376e-15
3.800,1.302000e-15
3.850,1.380281e-15
3.900,1.461225e-15
3.950,1.544833e-15
4.000,1.631109e-15
4.050,1.720049e-15
4.100,1.811653e-15
4.150,1.905915e-15
4.200,2.002830e-15
4.250,2.102390e-15
4.300,2.204586e-15
4.350,2.309408e-15
4.400,2.416844e-15
4.450,2.526882e-15
4.500,2.639506e-15
4.550,2.754702e-15
4.600,2.872454e-15
4.650,2.992744e-15
4.700,3.115553e-15
4.750,3.240863e-15
4.800,3.368654e-15
4.850,3.498905e-15
4.900,3.631594e-15
4.950,3.766700e-15
5.000,3.904200e-15
5.050,4.044070e-15
5.100,4.186287e-15
5.150,4.330827e-15
5.200,4.477664e-15
5.250,4.626774e-15
5.300,4.778131e-15
5.350,4.931711e-15
5.400,5.087485e-15
5.450,5.245429e-15
5.500,5.405516e-15
5.550,5.567720e-15
5.600,5.732012e-15
5.650,5.898367e-15
5.700,6.066758e-15
5.750,6.237156e-15
5.800,6.409536e-15
5.850,6.583869e-15
5.900,6.760129e-15
5.950,6.938288e-15
6.000,7.118319e-15
6.050,7.300195e-15
6.100,7.483889e-15
6.150,7.669373e-15
6.200,7.856621e-15
6.250,8.045606e-15
6.300,8.236301e-15
6.350,8.428679e-15
6.400,8.622714e-15
6.450,8.818379e-15
6.500,9.015649e-15
6.550,9.214497e-15
6.600,9.414898e-15
6.650,9.616825e-15
6.700,9.820254e-15
6.750,1.002516e-14
6.800,1.023151e-14
6.850,1.043929e-14
6.900,1.064848e-14
6.950,1.085904e-14
7.000,1.107095e-14
7.050,1.128419e-14
7.100,1.149873e-14
7.150,1.171456e-14
7.200,1.193164e-14
7.250,1.214996e-14
7.300,1.236949e-14
7.350,1.259021e-14
7.400,1.281210e-14
7.450,1.303513e-14
7.500,1.325929e-14
7.550,1.348455e-14
7.600,1.371088e-14
7.650,1.393828e-14
7.700,1.416671e-14
7.750,1.439616e-14
7.800,1.462661e-14
7.850,1.485804e-14
7.900,1.509042e-14
7.950,1.532374e-14
8.000,1.555798e-14
8.050,1.579311e-14
8.100,1.602913e-14
8.150,1.626600e-14
8.200,1.650372e-14
8.250,1.674227e-14
8.300,1.698162e-14
8.350,1.722176e-14
8.400,1.746267e-14
8.450,1.770433e-14
8.500,1.794673e-14
8.550,1.818986e-14
8.600,1.843368e-14
8.650,1.867819e-14
8.700,1.892338e-14
8.750,1.916922e-14
8.800,1.941570e-14
8.850,1.966280e-14
8.900,1.991051e-14
8.950,2.015882e-14
9.000,2.040770e-14
9.050,2.065715e-14
9.100,2.090715e-14
9.150,2.115769e-14
9.200,2.140875e-14
9.250,2.166031e-14
9.300,2.191237e-14
9.350,2.216491e-14
9.400,2.241792e-14
9.450,2.267138e-14
9.500,2.292529e-14
9.550,2.317963e-14
9.600,2.343438e-14
9.650,2.368953e-14
9.700,2.394508e-14
9.750,2.420101e-14
9.800,2.445731e-14
9.850,2.471397e-14
9.900,2.497097e-14
9.950,2.522831e-14
10.000,2.548597e-14
10.050,2.574394e-14
10.100,2.600222e-14
10.150,2.626079e-14
10.200,2.651964e-14
10.250,2.677876e-14
10.300,2.703814e-14
10.350,2.729777e-14
10.400,2.755765e-14
10.450,2.781775e-14
10.500,2.807808e-14
10.550,2.833862e-14
10.600,2.859936e-14
10.650,2.886030e-14
10.700,2.912142e-14
10.750,2.938273e-14
10.800,2.964420e-14
10.850,2.990582e-14
10.900,3.016761e-14
10.950,3.042953e-14
11.000,3.069159e-14
11.050,3.095378e-14
11.100,3.121608e-14
11.150,3.147850e-14
11.200,3.174102e-14
11.250,3.200364e-14
11.300,3.226635e-14
11.350,3.252914e-14
11.400,3.279200e-14
11.450,3.305494e-14
11.500,3.331793e-14
11.550,3.358098e-14
11.600,3.384407e-14
11.650,3.410721e-14
11.700,3.437038e-14
11.750,3.463358e-14
11.800,3.489680e-14
11.850,3.516004e-14
11.900,3.542329e-14
11.950,3.568654e-14
12.000,3.594979e-14
12.050,3.621303e-14
12.100,3.647626e-14
12.150,3.673947e-14
12.200,3.700266e-14
12.250,3.726581e-14
12.300,3.752893e-14
12.350,3.779201e-14
12.400,3.805505e-14
12.450,3.831804e-14
12.500,3.858097e-14
12.550,3.884384e-14
12.600,3.910664e-14
12.650,3.936938e-14
12.700,3.963204e-14
12.750,3.989463e-14
12.800,4.015713e-14
12.850,4.041954e-14
12.900,4.068187e-14
12.950,4.094409e-14
13.000,4.120622e-14
13.050,4.146824e-14
13.100,4.173016e-14
13.150,4.199196e-14
13.200,4.225365e-14
13.250,4.251522e-14
13.300,4.277667e-14
13.350,4.303799e-14
13.400,4.329918e-14
13.450,4.356023e-14
13.500,4.382115e-14
13.550,4.408193e-14
13.600,4.434257e-14
13.650,4.460306e-14
13.700,4.486340e-14
13.750,4.512358e-14
13.800,4.538361e-14
13.850,4.564348e-14
13.900,4.590319e-14
13.950,4.616273e-14
14.000,4.642211e-14
14.050,4.668131e-14
14.100,4.694034e-14
14.150,4.719920e-14
14.200,4.745788e-14
14.250,4.771637e-14
14.300,4.797469e-14
14.350,4.823282e-14
14.400,4.849076e-14
14.450,4.874850e-14
14.500,4.900606e-14
14.550,4.926342e-14
14.600,4.952059e-14
14.650,4.977755e-14
14.700,5.003431e-14
14.750,5.029087e-14
14.800,5.054723e-14
14.850,5.080337e-14
14.900,5.105931e-14
14.950,5.131504e-14
15.000,5.157055e-14
15.050,5.182585e-14
15.100,5.208093e-14
15.150,5.233580e-14
15.200,5.259044e-14
15.250,5.284487e-14
15.300,5.309907e-14
15.350,5.335304e-14
15.400,5.360679e-14
15.450,5.386032e-14
15.500,5.411361e-14
15.550,5.436668e-14
15.600,5.461951e-14
15.650,5.487211e-14
15.700,5.512448e-14
15.750,5.537661e-14
15.800,5.562850e-14
15.850,5.588016e-14
15.900,5.613158e-14
15.950,5.638275e-14
16.000,5.663369e-14
16.050,5.688439e-14
16.100,5.713484e-14
16.150,5.738505e-14
16.200,5.763501e-14
16.250,5.788473e-14
16.300,5.813421e-14
16.350,5.838343e-14
16.400,5.863241e-14
16.450,5.888114e-14
16.500,5.912961e-14
16.550,5.937784e-14
16.600,5.962582e-14
16.650,5.987354e-14
16.700,6.012102e-14
16.750,6.036824e-14
16.800,6.061520e-14
16.850,6.086191e-14
16.900,6.110837e-14
16.950,6.135457e-14
17.000,6.160052e-14
17.050,6.184621e-14
17.100,6.209164e-14
17.150,6.233682e-14
17.200,6.258173e-14
17.250,6.282639e-14
17.300,6.307080e-14
17.350,6.331494e-14
17.400,6.355882e-14
17.450,6.380245e-14
17.500,6.404582e-14
17.550,6.428892e-14
17.600,6.453177e-14
17.650,6.477435e-14
17.700,6.501668e-14
17.750,6.525874e-14
17.800,6.550055e-14
17.850,6.574209e-14
17.900,6.598337e-14
17.950,6.622440e-14
18.000,6.646516e-14
18.050,6.670565e-14
18.100,6.694589e-14
18.150,6.718587e-14
18.200,6.742558e-14
18.250,6.766504e-14
18.300,6.790423e-14
18.350,6.814316e-14
18.400,6.838183e-14
18.450,6.862024e-14
18.500,6.885838e-14
18.550,6.909627e-14
18.600,6.933389e-14
18.650,6.957126e-14
18.700,6.980836e-14
18.750,7.004520e-14
18.800,7.028178e-14
18.850,7.051810e-14
18.900,7.075416e-14
18.950,7.098997e-14
19.000,7.122551e-14
19.050,7.146079e-14
19.100,7.169581e-14
19.150,7.193057e-14
