# Elastic rate (iaa)
Te_eV,Kel_m3s
13.700,2.107613e-13
13.750,2.110888e-13
13.800,2.114150e-13
13.850,2.117398e-13
13.900,2.120632e-13
13.950,2.123852e-13
14.000,2.127058e-13
14.050,2.130251e-13
14.100,2.133430e-13
14.150,2.136596e-13
14.200,2.139749e-13
14.250,2.142888e-13
14.300,2.146014e-13
14.350,2.149126e-13
14.400,2.152226e-13
14.450,2.155312e-13
14.500,2.158386e-13
14.550,2.161447e-13
14.600,2.164495e-13
14.650,2.167530e-13
14.700,2.170553e-13
14.750,2.173563e-13
14.800,2.176560e-13
14.850,2.179545e-13
14.900,2.182517e-13
14.950,2.185478e-13
15.000,2.188426e-13
15.050,2.191361e-13
15.100,2.194285e-13
15.150,2.197197e-13
15.200,2.200096e-13
15.250,2.202984e-13
15.300,2.205860e-13
15.350,2.208723e-13
15.400,2.211576e-13
15.450,2.214416e-13
15.500,2.217245e-13
15.550,2.220062e-13
15.600,2.222868e-13
15.650,2.225663e-13
15.700,2.228446e-13
15.750,2.231218e-13
15.800,2.233978e-13
15.850,2.236727e-13
15.900,2.239466e-13
15.950,2.242193e-13
16.000,2.244909e-13
16.050,2.247614e-13
16.100,2.250308e-13
16.150,2.252992e-13
16.200,2.255664e-13
16.250,2.258326e-13
16.300,2.260977e-13
16.350,2.263618e-13
16.400,2.266248e-13
16.450,2.268868e-13
16.500,2.271477e-13
16.550,2.274075e-13
16.600,2.276664e-13
16.650,2.279242e-13
16.700,2.281810e-13
16.750,2.284367e-13
16.800,2.286915e-13
16.850,2.289453e-13
16.900,2.291980e-13
16.950,2.294498e-13
17.000,2.297005e-13
17.050,2.299503e-13
17.100,2.301991e-13
17.150,2.304469e-13
17.200,2.306938e-13
17.250,2.309396e-13
17.300,2.311846e-13
17.350,2.314285e-13
17.400,2.316715e-13
17.450,2.319136e-13
17.500,2.321547e-13
17.550,2.323949e-13
17.600,2.326342e-13
17.650,2.328725e-13
17.700,2.331099e-13
17.750,2.333464e-13
17.800,2.335820e-13
17.850,2.338166e-13
17.900,2.340504e-13
17.950,2.342833e-13
18.000,2.345153e-13
18.050,2.347463e-13
18.100,2.349765e-13
18.150,2.352058e-13
18.200,2.354343e-13
18.250,2.356618e-13
18.300,2.358885e-13
18.350,2.361144e-13
18.400,2.363393e-13
18.450,2.365635e-13
18.500,2.367867e-13
18.550,2.370092e-13
18.600,2.372307e-13
18.650,2.374515e-13
18.700,2.376714e-13
18.750,2.378905e-13
18.800,2.381087e-13
18.850,2.383261e-13
18.900,2.385428e-13
18.950,2.387585e-13
19.000,2.389735e-13
19.050,2.391877e-13
19.100,2.394011e-13
19.150,2.396137e-13
19.200,2.398255e-13
19.250,2.400365e-13
19.300,2.402467e-13
19.350,2.404561e-13
