# Ionisation rate (iaa)
Te_eV,Kiz_m3s
13.700,1.644018e-14
13.750,1.655611e-14
13.800,1.667215e-14
13.850,1.678830e-14
13.900,1.690457e-14
13.950,1.702094e-14
14.000,1.713742e-14
14.050,1.725401e-14
14.100,1.737070e-14
14.150,1.748749e-14
14.200,1.760438e-14
14.250,1.772136e-14
14.300,1.783844e-14
14.350,1.795562e-14
14.400,1.807288e-14
14.450,1.819023e-14
14.500,1.830766e-14
14.550,1.842519e-14
14.600,1.854279e-14
14.650,1.866047e-14
14.700,1.877823e-14
14.750,1.889607e-14
14.800,1.901399e-14
14.850,1.913197e-14
14.900,1.925003e-14
14.950,1.936816e-14
15.000,1.948635e-14
15.050,1.960461e-14
15.100,1.972294e-14
15.150,1.984132e-14
15.200,1.995977e-14
15.250,2.007828e-14
15.300,2.019684e-14
15.350,2.031546e-14
15.400,2.043413e-14
15.450,2.055286e-14
15.500,2.067163e-14
15.550,2.079045e-14
15.600,2.090932e-14
15.650,2.102824e-14
15.700,2.114720e-14
15.750,2.126620e-14
15.800,2.138525e-14
15.850,2.150433e-14
15.900,2.162345e-14
15.950,2.174261e-14
16.000,2.186181e-14
16.050,2.198103e-14
16.100,2.210029e-14
16.150,2.221958e-14
16.200,2.233890e-14
16.250,2.245825e-14
16.300,2.257762e-14
16.350,2.269702e-14
16.400,2.281644e-14
16.450,2.293589e-14
16.500,2.305535e-14
16.550,2.317484e-14
16.600,2.329434e-14
16.650,2.341387e-14
16.700,2.353340e-14
16.750,2.365295e-14
16.800,2.377252e-14
16.850,2.389210e-14
16.900,2.401169e-14
16.950,2.413128e-14
17.000,2.425089e-14
17.050,2.437050e-14
17.100,2.449012e-14
17.150,2.460975e-14
17.200,2.472938e-14
17.250,2.484901e-14
17.300,2.496864e-14
17.350,2.508827e-14
17.400,2.520790e-14
17.450,2.532753e-14
17.500,2.544716e-14
17.550,2.556678e-14
17.600,2.568640e-14
17.650,2.580601e-14
17.700,2.592562e-14
17.750,2.604521e-14
17.800,2.616480e-14
17.850,2.628438e-14
17.900,2.640394e-14
17.950,2.652350e-14
18.000,2.664304e-14
18.050,2.676256e-14
18.100,2.688207e-14
18.150,2.700157e-14
18.200,2.712105e-14
18.250,2.724050e-14
18.300,2.735994e-14
18.350,2.747937e-14
18.400,2.759876e-14
18.450,2.771814e-14
18.500,2.783750e-14
18.550,2.795683e-14
18.600,2.807614e-14
18.650,2.819542e-14
18.700,2.831468e-14
18.750,2.843391e-14
18.800,2.855311e-14
18.850,2.867228e-14
18.900,2.879143e-14
18.950,2.891054e-14
19.000,2.902962e-14
19.050,2.914867e-14
19.100,2.926769e-14
19.150,2.938668e-14
19.200,2.950563e-14
19.250,2.962455e-14
19.300,2.974343e-14
19.350,2.986227e-14
19.400,2.998108e-14
19.450,3.009985e-14
19.500,3.021858e-14
19.550,3.033727e-14
19.600,3.045593e-14
19.650,3.057454e-14
19.700,3.069311e-14
19.750,3.081164e-14
19.800,3.093013e-14
19.850,3.104857e-14
19.900,3.116697e-14
19.950,3.128532e-14
20.000,3.140363e-14
