# Excitation rates (iaa, 7 Prozesse)
Te_eV,Kex_total_m3s,Pexc_coeff_Jm3s
0.500,2.204381e-17,0.000000e+00
0.550,3.020048e-17,0.000000e+00
0.600,3.960455e-17,0.000000e+00
0.650,5.021468e-17,0.000000e+00
0.700,6.201771e-17,0.000000e+00
0.750,7.503529e-17,0.000000e+00
0.800,8.932464e-17,0.000000e+00
0.850,1.049749e-16,0.000000e+00
0.900,1.221008e-16,0.000000e+00
0.950,1.408353e-16,0.000000e+00
1.000,1.613216e-16,0.000000e+00
1.050,1.837064e-16,0.000000e+00
1.100,2.081334e-16,0.000000e+00
1.150,2.347387e-16,0.000000e+00
1.200,2.636468e-16,0.000000e+00
1.250,2.949680e-16,0.000000e+00
1.300,3.287970e-16,0.000000e+00
1.350,3.652115e-16,0.000000e+00
1.400,4.042724e-16,0.000000e+00
1.450,4.460243e-16,0.000000e+00
1.500,4.904956e-16,0.000000e+00
1.550,5.376997e-16,0.000000e+00
1.600,5.876364e-16,0.000000e+00
1.650,6.402927e-16,0.000000e+00
1.700,6.956442e-16,0.000000e+00
1.750,7.536564e-16,0.000000e+00
1.800,8.142860e-16,0.000000e+00
1.850,8.774818e-16,0.000000e+00
1.900,9.431860e-16,0.000000e+00
1.950,1.011335e-15,0.000000e+00
2.000,1.081862e-15,0.000000e+00
2.050,1.154694e-15,0.000000e+00
2.100,1.229756e-15,0.000000e+00
2.150,1.306972e-15,0.000000e+00
2.200,1.386262e-15,0.000000e+00
2.250,1.467547e-15,0.000000e+00
2.300,1.550747e-15,0.000000e+00
2.350,1.635780e-15,0.000000e+00
2.400,1.722567e-15,0.000000e+00
2.450,1.811028e-15,0.000000e+00
2.500,1.901082e-15,0.000000e+00
2.550,1.992653e-15,0.000000e+00
2.600,2.085664e-15,0.000000e+00
2.650,2.180039e-15,0.000000e+00
2.700,2.275705e-15,0.000000e+00
2.750,2.372589e-15,0.000000e+00
2.800,2.470622e-15,0.000000e+00
2.850,2.569735e-15,0.000000e+00
2.900,2.669861e-15,0.000000e+00
2.950,2.770937e-15,0.000000e+00
3.000,2.872899e-15,0.000000e+00
3.050,2.975686e-15,0.000000e+00
3.100,3.079241e-15,0.000000e+00
3.150,3.183507e-15,0.000000e+00
3.200,3.288429e-15,0.000000e+00
3.250,3.393954e-15,0.000000e+00
3.300,3.500032e-15,0.000000e+00
3.350,3.606613e-15,0.000000e+00
3.400,3.713651e-15,0.000000e+00
3.450,3.821101e-15,0.000000e+00
3.500,3.928918e-15,0.000000e+00
3.550,4.037061e-15,0.000000e+00
3.600,4.145491e-15,0.000000e+00
3.650,4.254168e-15,0.000000e+00
3.700,4.363056e-15,0.000000e+00
3.750,4.472119e-15,0.000000e+00
3.800,4.581324e-15,0.000000e+00
3.850,4.690638e-15,0.000000e+00
3.900,4.800030e-15,0.000000e+00
3.950,4.909471e-15,0.000000e+00
4.000,5.018933e-15,0.000000e+00
4.050,5.128387e-15,0.000000e+00
4.100,5.237809e-15,0.000000e+00
4.150,5.347174e-15,0.000000e+00
4.200,5.456458e-15,0.000000e+00
4.250,5.565639e-15,0.000000e+00
4.300,5.674695e-15,0.000000e+00
4.350,5.783606e-15,0.000000e+00
4.400,5.892353e-15,0.000000e+00
4.450,6.000917e-15,0.000000e+00
4.500,6.109281e-15,0.000000e+00
4.550,6.217427e-15,0.000000e+00
4.600,6.325341e-15,0.000000e+00
4.650,6.433006e-15,0.000000e+00
4.700,6.540409e-15,0.000000e+00
4.750,6.647536e-15,0.000000e+00
4.800,6.754374e-15,0.000000e+00
4.850,6.860911e-15,0.000000e+00
4.900,6.967136e-15,0.000000e+00
4.950,7.073037e-15,0.000000e+00
5.000,7.178604e-15,0.000000e+00
5.050,7.283828e-15,0.000000e+00
5.100,7.388700e-15,0.000000e+00
5.150,7.493209e-15,0.000000e+00
5.200,7.597350e-15,0.000000e+00
5.250,7.701113e-15,0.000000e+00
5.300,7.804491e-15,0.000000e+00
5.350,7.907479e-15,0.000000e+00
5.400,8.010069e-15,0.000000e+00
5.450,8.112256e-15,0.000000e+00
5.500,8.214033e-15,0.000000e+00
5.550,8.315397e-15,0.000000e+00
5.600,8.416341e-15,0.000000e+00
5.650,8.516863e-15,0.000000e+00
5.700,8.616956e-15,0.000000e+00
5.750,8.716618e-15,0.000000e+00
5.800,8.815846e-15,0.000000e+00
5.850,8.914635e-15,0.000000e+00
5.900,9.012984e-15,0.000000e+00
5.950,9.110888e-15,0.000000e+00
6.000,9.208346e-15,0.000000e+00
6.050,9.305356e-15,0.000000e+00
6.100,9.401916e-15,0.000000e+00
6.150,9.498023e-15,0.000000e+00
6.200,9.593677e-15,0.000000e+00
6.250,9.688876e-15,0.000000e+00
6.300,9.783618e-15,0.000000e+00
6.350,9.877904e-15,0.000000e+00
6.400,9.971731e-15,0.000000e+00
6.450,1.006510e-14,0.000000e+00
6.500,1.015801e-14,0.000000e+00
6.550,1.025046e-14,0.000000e+00
6.600,1.034245e-14,0.000000e+00
6.650,1.043398e-14,0.000000e+00
6.700,1.052505e-14,0.000000e+00
6.750,1.061567e-14,0.000000e+00
6.800,1.070582e-14,0.000000e+00
6.850,1.079551e-14,0.000000e+00
6.900,1.088475e-14,0.000000e+00
6.950,1.097353e-14,0.000000e+00
7.000,1.106185e-14,0.000000e+00
7.050,1.114972e-14,0.000000e+00
7.100,1.123713e-14,0.000000e+00
7.150,1.132409e-14,0.000000e+00
7.200,1.141060e-14,0.000000e+00
7.250,1.149665e-14,0.000000e+00
7.300,1.158226e-14,0.000000e+00
7.350,1.166741e-14,0.000000e+00
7.400,1.175212e-14,0.000000e+00
7.450,1.183638e-14,0.000000e+00
7.500,1.192020e-14,0.000000e+00
7.550,1.200357e-14,0.000000e+00
7.600,1.208650e-14,0.000000e+00
7.650,1.216899e-14,0.000000e+00
7.700,1.225105e-14,0.000000e+00
7.750,1.233267e-14,0.000000e+00
7.800,1.241385e-14,0.000000e+00
7.850,1.249460e-14,0.000000e+00
7.900,1.257492e-14,0.000000e+00
7.950,1.265481e-14,0.000000e+00
8.000,1.273427e-14,0.000000e+00
8.050,1.281331e-14,0.000000e+00
8.100,1.289192e-14,0.000000e+00
8.150,1.297012e-14,0.000000e+00
8.200,1.304789e-14,0.000000e+00
8.250,1.312525e-14,0.000000e+00
8.300,1.320219e-14,0.000000e+00
8.350,1.327872e-14,0.000000e+00
8.400,1.335483e-14,0.000000e+00
8.450,1.343054e-14,0.000000e+00
8.500,1.350584e-14,0.000000e+00
8.550,1.358074e-14,0.000000e+00
8.600,1.365524e-14,0.000000e+00
8.650,1.372933e-14,0.000000e+00
8.700,1.380303e-14,0.000000e+00
8.750,1.387633e-14,0.000000e+00
8.800,1.394923e-14,0.000000e+00
8.850,1.402175e-14,0.000000e+00
8.900,1.409387e-14,0.000000e+00
8.950,1.416561e-14,0.000000e+00
9.000,1.423697e-14,0.000000e+00
9.050,1.430794e-14,0.000000e+00
9.100,1.437853e-14,0.000000e+00
9.150,1.444874e-14,0.000000e+00
9.200,1.451857e-14,0.000000e+00
9.250,1.458804e-14,0.000000e+00
9.300,1.465713e-14,0.000000e+00
9.350,1.472585e-14,0.000000e+00
9.400,1.479420e-14,0.000000e+00
9.450,1.486219e-14,0.000000e+00
9.500,1.492982e-14,0.000000e+00
9.550,1.499708e-14,0.000000e+00
9.600,1.506399e-14,0.000000e+00
9.650,1.513054e-14,0.000000e+00
9.700,1.519673e-14,0.000000e+00
9.750,1.526258e-14,0.000000e+00
9.800,1.532807e-14,0.000000e+00
9.850,1.539322e-14,0.000000e+00
9.900,1.545802e-14,0.000000e+00
9.950,1.552248e-14,0.000000e+00
10.000,1.558660e-14,0.000000e+00
10.050,1.565038e-14,0.000000e+00
10.100,1.571382e-14,0.000000e+00
10.150,1.577693e-14,0.000000e+00
10.200,1.583970e-14,0.000000e+00
10.250,1.590214e-14,0.000000e+00
10.300,1.596426e-14,0.000000e+00
10.350,1.602605e-14,0.000000e+00
10.400,1.608751e-14,0.000000e+00
