# Ionisation rate (hayashi)
Te_eV,Kiz_m3s
13.700,6.567508e-14
13.750,6.601881e-14
13.800,6.636223e-14
13.850,6.670533e-14
13.900,6.704812e-14
13.950,6.739059e-14
14.000,6.773274e-14
14.050,6.807458e-14
14.100,6.841609e-14
14.150,6.875727e-14
14.200,6.909813e-14
14.250,6.943866e-14
14.300,6.977886e-14
14.350,7.011873e-14
14.400,7.045827e-14
14.450,7.079747e-14
14.500,7.113634e-14
14.550,7.147487e-14
14.600,7.181306e-14
14.650,7.215091e-14
14.700,7.248841e-14
14.750,7.282558e-14
14.800,7.316240e-14
14.850,7.349888e-14
14.900,7.383500e-14
14.950,7.417078e-14
15.000,7.450621e-14
15.050,7.484129e-14
15.100,7.517602e-14
15.150,7.551040e-14
15.200,7.584442e-14
15.250,7.617809e-14
15.300,7.651141e-14
15.350,7.684436e-14
15.400,7.717696e-14
15.450,7.750920e-14
15.500,7.784109e-14
15.550,7.817261e-14
15.600,7.850377e-14
15.650,7.883457e-14
15.700,7.916501e-14
15.750,7.949509e-14
15.800,7.982480e-14
15.850,8.015415e-14
15.900,8.048313e-14
15.950,8.081175e-14
16.000,8.114000e-14
16.050,8.146789e-14
16.100,8.179540e-14
16.150,8.212256e-14
16.200,8.244934e-14
16.250,8.277575e-14
16.300,8.310180e-14
16.350,8.342747e-14
16.400,8.375278e-14
16.450,8.407772e-14
16.500,8.440228e-14
16.550,8.472647e-14
16.600,8.505030e-14
16.650,8.537375e-14
16.700,8.569683e-14
16.750,8.601953e-14
16.800,8.634187e-14
16.850,8.666383e-14
16.900,8.698541e-14
16.950,8.730663e-14
17.000,8.762747e-14
17.050,8.794794e-14
17.100,8.826803e-14
17.150,8.858775e-14
17.200,8.890710e-14
17.250,8.922607e-14
17.300,8.954466e-14
17.350,8.986289e-14
17.400,9.018073e-14
17.450,9.049821e-14
17.500,9.081530e-14
17.550,9.113203e-14
17.600,9.144838e-14
17.650,9.176435e-14
17.700,9.207995e-14
17.750,9.239517e-14
17.800,9.271002e-14
17.850,9.302450e-14
17.900,9.333860e-14
17.950,9.365232e-14
18.000,9.396567e-14
18.050,9.427865e-14
18.100,9.459125e-14
18.150,9.490347e-14
18.200,9.521532e-14
18.250,9.552680e-14
18.300,9.583790e-14
18.350,9.614863e-14
18.400,9.645899e-14
18.450,9.676897e-14
18.500,9.707858e-14
18.550,9.738781e-14
18.600,9.769667e-14
18.650,9.800516e-14
18.700,9.831327e-14
18.750,9.862102e-14
18.800,9.892838e-14
18.850,9.923538e-14
18.900,9.954201e-14
18.950,9.984826e-14
19.000,1.001541e-13
19.050,1.004596e-13
19.100,1.007648e-13
19.150,1.010696e-13
19.200,1.013739e-13
19.250,1.016780e-13
19.300,1.019816e-13
19.350,1.022849e-13
19.400,1.025878e-13
19.450,1.028904e-13
19.500,1.031926e-13
19.550,1.034944e-13
19.600,1.037958e-13
19.650,1.040969e-13
19.700,1.043976e-13
19.750,1.046979e-13
19.800,1.049979e-13
19.850,1.052975e-13
19.900,1.055967e-13
19.950,1.058956e-13
20.000,1.061941e-13
