R=0.060000,L=0.100000,betai=0.700000,betag=0.300000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1000.000000,sGitter=0.001500,Eexc=0.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
59281645914845360.000000,531726793012791.500000,440785478998434944.000000,740685635645946112.000000,25835493660631964.000000,33977879097801072.000000,101074.876770,293.504048,198.906250,0.210000,68.175363,79.995682,4.923635,79.995682,0.000010,0.001019,12.887348,24753.597562,0.165015,0.286826,0.742987
62378640788218968.000000,723082417105293.125000,521672300095091008.000000,885739271191109376.000000,27420975658675664.000000,35680747655547696.000000,90991.413123,293.569237,156.796875,0.220000,68.175363,79.999404,4.919341,79.999404,0.000012,0.001215,11.256227,31374.052070,0.191931,0.337844,0.707974
67081892975131904.000000,1137249090742061.250000,681842713768139776.000000,1187385923680634880.000000,30230772900764892.000000,37988369448127376.000000,77963.326857,293.697532,110.625000,0.240000,68.175363,79.997683,4.904446,79.997683,0.000016,0.001618,9.167753,44334.125965,0.240247,0.419670,0.645146
70469907381040720.000000,1540505964593501.000000,827479505234166656.000000,1503414542866463744.000000,32380407333448064.000000,39630006232732568.000000,70178.552837,293.824911,86.523438,0.260000,68.175363,80.001683,4.893524,80.001683,0.000020,0.002025,7.876356,56557.444423,0.283004,0.480424,0.592889
72962217800170432.000000,1958647199158759.250000,965460447924853632.000000,1830529686967966464.000000,34186571781709332.000000,40734292684372784.000000,65012.234607,293.951927,71.914062,0.280000,68.175363,80.000622,4.882140,80.000622,0.000025,0.002439,6.986253,67888.877268,0.321305,0.526623,0.548029
75015432684353760.000000,2425831285772098.000000,1109490338810771584.000000,2154299639272017152.000000,36012617063170508.000000,41428646822329272.000000,60931.671084,294.071548,62.285156,0.300000,68.175363,80.000741,4.867347,80.000741,0.000029,0.002853,6.345241,78146.632546,0.353585,0.562262,0.508439
76648538696458288.000000,2880755470082266.000000,1232650952379445760.000000,2490305226264048128.000000,37160094183551368.000000,42369200176625824.000000,58096.955534,294.193835,55.507812,0.320000,68.175363,79.995963,4.863308,79.995963,0.000033,0.003266,5.851037,87615.422983,0.383247,0.590370,0.475908
79253548373247424.000000,3754804879745609.500000,1480630219967823872.000000,3188202932679690240.000000,40077701480476896.000000,42930651736024656.000000,53536.625489,294.431279,46.328125,0.360000,68.175363,79.992934,4.836995,79.992934,0.000041,0.004119,5.122809,104408.207125,0.433537,0.633263,0.418518
81238287613317872.000000,4594116052874714.000000,1716872798574198272.000000,3885236895404660224.000000,42262879384949680.000000,43569524287654640.000000,50476.629326,294.662174,40.781250,0.400000,68.175363,80.005921,4.821847,80.005921,0.000049,0.004966,4.634398,118238.073318,0.473345,0.662385,0.374260
82732445800342992.000000,5584338657748794.000000,1959155284509784832.000000,4572522439494880768.000000,44277333956082488.000000,44039450763564392.000000,48040.592597,294.881611,36.699219,0.440000,68.175363,79.993416,4.806280,79.993416,0.000057,0.005808,4.244334,130965.667254,0.509135,0.685521,0.338099
