R=0.050000,L=0.055000,betai=0.500000,betag=0.097600,omega=6911503.837898,Nw=6.000000,Rcoil=0.975000,VGitter=1500.000000,sGitter=0.001000,Eexc=5.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
149429723871909568.000000,4062791587000001.500000,1374256636088548864.000000,4754867918043181056.000000,90580559499937376.000000,62911955992094496.000000,57993.951209,294.893146,37.792969,0.200000,281.803812,80.000245,5.713000,120.000368,0.000012,0.001261,4.130616,151166.002069,0.779914,0.760493,0.699894
153531756118764384.000000,5026970146454667.000000,1562414953825646592.000000,5776626890270714880.000000,96181953105074688.000000,62376777080235728.000000,54320.226806,295.187885,36.474609,0.210000,281.803812,79.999978,5.681830,119.999967,0.000015,0.001518,3.821651,155775.341217,0.804797,0.766900,0.659063
156869716647536064.000000,5859607811698975.000000,1729071054427733248.000000,6787086643398221824.000000,100777211455045920.000000,61952102823443120.000000,51651.396647,295.467595,35.761719,0.220000,281.803812,79.994897,5.657698,119.992346,0.000017,0.001769,3.622175,158205.906561,0.821147,0.770399,0.623601
159490333733487744.000000,6826390530906358.000000,1891769137784839424.000000,7771622810988718080.000000,104676663263886608.000000,61640061283772008.000000,49607.132145,295.737368,35.473633,0.230000,281.803812,80.001352,5.639401,120.002028,0.000019,0.002015,3.471000,158974.981138,0.834431,0.771841,0.592413
161832974329073856.000000,7831924883774787.000000,2056361097313268736.000000,8736463094069474304.000000,108210010246445920.000000,61454907761807608.000000,47852.000523,295.998461,35.429688,0.240000,281.803812,79.996995,5.623564,119.995492,0.000022,0.002257,3.337928,158725.231059,0.846693,0.772050,0.564426
163826417390373600.000000,8798954381081318.000000,2205317262292204032.000000,9707294797484132352.000000,111344761025167344.000000,61280610939906488.000000,46446.758371,296.254680,35.615234,0.250000,281.803812,80.005791,5.610906,120.008686,0.000024,0.002499,3.249922,157542.965951,0.855428,0.771149,0.539223
165739862674447328.000000,9676812675965940.000000,2361191180701195776.000000,10643057195793879040.000000,113952607331748208.000000,61464055721421968.000000,45242.867203,296.502743,35.820312,0.260000,281.803812,79.999586,5.602042,119.999379,0.000026,0.002734,3.174500,156393.602969,0.862850,0.770121,0.516804
168986076084479232.000000,11434790084693972.000000,2640313307851444224.000000,12574750308703928320.000000,119221359133592608.000000,61199506975612112.000000,43230.012112,296.994533,36.298828,0.280000,281.803812,80.003142,5.581913,120.004713,0.000030,0.003215,3.061353,153777.523996,0.874134,0.767772,0.476231
171909981495823264.000000,13232049373154414.000000,2920426506285100544.000000,14503245291108392960.000000,124449588928217664.000000,60692443109492696.000000,41477.216247,297.469183,37.128906,0.300000,281.803812,80.005273,5.561465,120.007910,0.000035,0.003697,2.981251,149788.945322,0.883303,0.763722,0.441022
174239205688889888.000000,14953612440008584.000000,3204983156241576960.000000,16372017786991265792.000000,128399046262982080.000000,60793772279120448.000000,40227.329747,297.940584,37.841797,0.320000,281.803812,80.005624,5.549831,120.008436,0.000039,0.004169,2.913706,146659.806461,0.890631,0.760274,0.411618
176648184342257184.000000,16506817864316086.000000,3465727507379324928.000000,18251884583950694400.000000,131928141765639488.000000,61226860804249904.000000,39113.431397,298.404251,38.935547,0.340000,281.803812,79.992926,5.541158,119.989389,0.000044,0.004642,2.882754,142317.301557,0.895950,0.755014,0.386185
179564888291970464.000000,20278310722836024.000000,4025918523307917312.000000,21950002167401287680.000000,138430699275135328.000000,61412499887206816.000000,37506.232690,299.307231,40.917969,0.380000,281.803812,80.006005,5.524798,120.009007,0.000052,0.005585,2.826765,135022.594647,0.904799,0.745745,0.343293
183033849855896512.000000,23764569982027396.000000,4554149948443447296.000000,25666747563114131456.000000,144896468327239328.000000,61901950105615904.000000,35941.350738,300.174437,42.773438,0.420000,281.803812,80.005299,5.510615,120.007949,0.000061,0.006535,2.796066,128834.081949,0.910896,0.737244,0.308894
185301645367684576.000000,27208368663542564.000000,5089318296283945984.000000,29351991438077546496.000000,150399259471367968.000000,62110753726343248.000000,34904.356184,301.044512,44.990234,0.460000,281.803812,80.001184,5.497866,120.001777,0.000070,0.007486,2.796101,122202.877801,0.915285,0.727331,0.280648
187475056965904256.000000,30559298861715508.000000,5617459839761244160.000000,33015747943529717760.000000,155412814947415136.000000,62621540981717008.000000,34012.093696,301.898036,47.148438,0.500000,281.803812,79.996596,5.488650,119.994894,0.000079,0.008439,2.808613,116413.804465,0.918437,0.717930,0.257282
189463979241218368.000000,33858223631173240.000000,6132162915965657088.000000,36676565987715903488.000000,160115953536007392.000000,63206250065580680.000000,33249.994640,302.745754,49.433594,0.540000,281.803812,79.999154,5.481494,119.998732,0.000087,0.009397,2.831618,110887.786632,0.920928,0.708256,0.237545
191749072466103104.000000,36925205961461256.000000,6636962223194217472.000000,40320666054015918080.000000,164460857111769632.000000,64213384218649920.000000,32530.991574,303.593446,51.796875,0.580000,281.803812,79.998144,5.477542,119.997216,0.000096,0.010357,2.861772,105752.284727,0.922920,0.698513,0.220821
194033006257092000.000000,39842371742482744.000000,7125644774638602240.000000,43971423600866017280.000000,168661328752869248.000000,65214055484699256.000000,31887.970931,304.449836,54.199219,0.620000,281.803812,80.001715,5.474351,120.002572,0.000105,0.011324,2.895476,101006.178953,0.924591,0.688891,0.206304
