R=0.060000,L=0.100000,betai=0.700000,betag=0.300000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1000.000000,sGitter=0.001500,Eexc=8.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
59282271400400896.000000,531629849330995.875000,440732448991671104.000000,740601075380796672.000000,25835913048502924.000000,33977988165969792.000000,101081.262853,293.504027,211.250000,0.210000,68.175363,79.999095,4.923840,79.999095,0.000010,0.001019,13.281359,23308.164932,0.164996,0.274678,0.743017
62379924874050728.000000,722867031022787.250000,521574733732139776.000000,885586841511478784.000000,27423294347950380.000000,35679497528707204.000000,91003.185555,293.569221,169.531250,0.220000,68.175363,80.006922,4.919753,80.006922,0.000012,0.001215,11.704631,29019.811174,0.191899,0.320623,0.708026
67080955049233152.000000,1137320543180386.750000,681869242808891648.000000,1187432135911167744.000000,30230193482012544.000000,37988085810133104.000000,77961.918721,293.697527,124.140625,0.240000,68.175363,79.995821,4.904337,79.995821,0.000016,0.001618,9.711602,39506.434453,0.240255,0.391879,0.645132
70471815267619048.000000,1540346852213188.250000,827416014641186688.000000,1503347737636326912.000000,32381460114674188.000000,39630701926058168.000000,70180.816590,293.824917,100.703125,0.260000,68.175363,80.005103,4.893727,80.005103,0.000020,0.002025,8.497337,48595.784559,0.282994,0.442737,0.592913
72959081339802800.000000,1958804303010446.500000,965538842134656000.000000,1830611547119335424.000000,34184311750679116.000000,40733573854553600.000000,65010.577076,293.951913,86.718750,0.280000,68.175363,79.995984,4.881878,79.995984,0.000025,0.002439,7.671662,56295.811298,0.321319,0.479845,0.548002
75009441425730816.000000,2426177659166098.000000,1109629778635337984.000000,2154450819576400640.000000,36009026577361612.000000,41426592468959728.000000,60929.302378,294.071510,77.734375,0.300000,68.175363,79.992824,4.866886,79.992824,0.000029,0.002854,7.088516,62609.555294,0.353606,0.507168,0.508393
76655853893426608.000000,2880384135460307.000000,1232492650451043328.000000,2490143399272263168.000000,37165212941185928.000000,42371025197092728.000000,58099.098164,294.193884,71.699219,0.320000,68.175363,80.005278,4.863834,80.005278,0.000033,0.003266,6.649989,67837.098890,0.383224,0.527386,0.475955
79258720334805664.000000,3754574043610846.000000,1480518854163549952.000000,3188103679402840576.000000,40080966375620448.000000,42932327846960872.000000,53537.678285,294.431342,63.925781,0.360000,68.175363,79.998905,4.837339,79.998905,0.000041,0.004119,6.017663,75671.813972,0.433526,0.555851,0.418546
81239112069785088.000000,4594071612566843.000000,1716854393816642816.000000,3885225563286287360.000000,42263408100888960.000000,43569775548843632.000000,50476.742458,294.662187,59.531250,0.400000,68.175363,80.006802,4.821898,80.006802,0.000049,0.004966,5.599332,80998.580423,0.473343,0.573384,0.374264
82738888874515264.000000,5584011622574891.000000,1959006170258135040.000000,4572458473222595584.000000,44281605888337936.000000,44041294584132792.000000,48041.239500,294.881729,56.796875,0.440000,68.175363,79.999997,4.806653,79.999997,0.000057,0.005808,5.280174,84629.841935,0.509124,0.584826,0.338123
83966854790291680.000000,6535391013677727.000000,2187734241257926912.000000,5271763500144135168.000000,45980825377310960.000000,44521419569410872.000000,46179.248564,295.098260,55.458984,0.480000,68.175363,79.998444,4.795536,79.998444,0.000066,0.006655,5.064603,86471.135757,0.537492,0.590600,0.308518
85075093390724528.000000,7426764802262775.000000,2413144415100593664.000000,5974785166822057984.000000,47613767684725024.000000,44888090757360144.000000,44609.276407,295.312169,54.316406,0.520000,68.175363,79.998861,4.784639,79.998861,0.000074,0.007505,4.863876,88089.652284,0.564454,0.595628,0.283486
86055195221064640.000000,8304580007088743.000000,2633846662953521152.000000,6677909005552914432.000000,48986347399396808.000000,45373427512922936.000000,43321.158552,295.521478,53.691406,0.560000,68.175363,80.001395,4.777595,80.001395,0.000082,0.008353,4.720988,88984.027314,0.584892,0.598422,0.262450
86977453839460256.000000,9160153022620158.000000,2851155686755143168.000000,7389367840443522048.000000,50478564910696208.000000,45659042077075912.000000,42116.503085,295.726722,53.574219,0.600000,68.175363,79.995484,4.767618,79.995484,0.000090,0.009209,4.601668,88992.594637,0.604747,0.598932,0.243942
