R=0.050000,L=0.055000,betai=0.500000,betag=0.097600,omega=6911503.837898,Nw=6.000000,Rcoil=0.975000,VGitter=1500.000000,sGitter=0.001000,Eexc=0.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
153526397413266304.000000,5027637401490339.000000,1562578640714380800.000000,5777275496218556416.000000,96179655408411280.000000,62374378890893616.000000,54317.757437,295.187945,28.398438,0.210000,281.803812,79.995603,5.681513,119.993405,0.000015,0.001518,3.372001,200064.791809,0.804811,0.808627,0.659025
156868523778126912.000000,5859709088811385.000000,1729095900004733696.000000,6787166374456099840.000000,100776479102740112.000000,61951753265079040.000000,51651.110632,295.468705,26.845703,0.220000,281.803812,79.994098,5.657642,119.991147,0.000017,0.001769,3.138310,210747.295900,0.821149,0.817175,0.623595
159490652653789248.000000,6826353963952143.000000,1891761434396989952.000000,7771596098471739392.000000,104676852909511600.000000,61640153766066216.000000,49607.200884,295.737364,25.678711,0.230000,281.803812,80.001556,5.639415,120.002335,0.000019,0.002015,2.953173,219615.167270,0.834431,0.823736,0.592415
161828897935141632.000000,7832288737836211.000000,2056400675493456896.000000,8736907214620155904.000000,108208938127066688.000000,61452247602175752.000000,47851.392905,295.998486,24.677734,0.240000,281.803812,79.994768,5.623393,119.992152,0.000022,0.002257,2.785729,227874.021825,0.846698,0.829423,0.564408
163827907602527488.000000,8798820119269986.000000,2205284360325357312.000000,9707194276943341568.000000,111345832469654160.000000,61280896416163152.000000,46446.924950,296.254685,23.935547,0.250000,281.803812,80.006637,5.610963,120.009955,0.000024,0.002499,2.664272,234420.669187,0.855427,0.833721,0.539229
165754326045630688.000000,9675609812792194.000000,2360920457379499520.000000,10641980190354083840.000000,113961480710498672.000000,61468455915588640.000000,45244.390902,296.502810,23.310547,0.260000,281.803812,80.007466,5.602591,120.011199,0.000026,0.002734,2.560973,240346.866168,0.862839,0.837358,0.516855
168976862848818272.000000,11435419934516034.000000,2640506953221239296.000000,12575292273716373504.000000,119214182458349728.000000,61198100594340064.000000,43229.376885,296.994441,22.319336,0.280000,281.803812,79.998294,5.581590,119.997442,0.000030,0.003215,2.400488,250080.058879,0.874139,0.843175,0.476205
171910737605908960.000000,13232051488875978.000000,2920408095503731200.000000,14503201116225173504.000000,124450222831052624.000000,60692565360190296.000000,41477.276401,297.469193,21.503906,0.300000,281.803812,80.005695,5.561493,120.008543,0.000035,0.003697,2.268829,258628.723822,0.883303,0.848046,0.441024
174219723068675200.000000,14954967443365736.000000,3205434167531551744.000000,16372930282806769664.000000,128383137593200528.000000,60791553241447008.000000,40226.441478,297.940239,20.913086,0.320000,281.803812,79.996158,5.549209,119.994237,0.000039,0.004170,2.165996,265348.126600,0.890637,0.851587,0.411575
176666015197593568.000000,16505665855100666.000000,3465331546244006400.000000,18251076155837589504.000000,131942558431842976.000000,61229122303771600.000000,39114.038919,298.404610,20.429688,0.340000,281.803812,80.001227,5.541705,120.001840,0.000044,0.004642,2.088210,271259.605395,0.895945,0.854527,0.386221
