R=0.060000,L=0.100000,betai=0.700000,betag=0.300000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1000.000000,sGitter=0.001500,Eexc=0.000000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
59281645914845360.000000,531726793012791.500000,440785478998434944.000000,740685635645946112.000000,25835493660631964.000000,33977879097801072.000000,101074.876770,293.504048,198.906250,0.210000,68.175363,79.995682,4.923635,79.995682,0.000010,0.001019,12.887348,24753.597562,0.165015,0.286826,0.742987
62378640788218968.000000,723082417105293.125000,521672300095091008.000000,885739271191109376.000000,27420975658675664.000000,35680747655547696.000000,90991.413123,293.569237,156.796875,0.220000,68.175363,79.999404,4.919341,79.999404,0.000012,0.001215,11.256227,31374.052070,0.191931,0.337844,0.707974
67081892975131904.000000,1137249090742061.250000,681842713768139776.000000,1187385923680634880.000000,30230772900764892.000000,37988369448127376.000000,77963.326857,293.697532,110.625000,0.240000,68.175363,79.997683,4.904446,79.997683,0.000016,0.001618,9.167753,44334.125965,0.240247,0.419670,0.645146
70469907381040720.000000,1540505964593501.000000,827479505234166656.000000,1503414542866463744.000000,32380407333448064.000000,39630006232732568.000000,70178.552837,293.824911,86.523438,0.260000,68.175363,80.001683,4.893524,80.001683,0.000020,0.002025,7.876356,56557.444423,0.283004,0.480424,0.592889
72962217800170432.000000,1958647199158759.250000,965460447924853632.000000,1830529686967966464.000000,34186571781709332.000000,40734292684372784.000000,65012.234607,293.951927,71.914062,0.280000,68.175363,80.000622,4.882140,80.000622,0.000025,0.002439,6.986253,67888.877268,0.321305,0.526623,0.548029
75015432684353760.000000,2425831285772098.000000,1109490338810771584.000000,2154299639272017152.000000,36012617063170508.000000,41428646822329272.000000,60931.671084,294.071548,62.285156,0.300000,68.175363,80.000741,4.867347,80.000741,0.000029,0.002853,6.345241,78146.632546,0.353585,0.562262,0.508439
76648538696458288.000000,2880755470082266.000000,1232650952379445760.000000,2490305226264048128.000000,37160094183551368.000000,42369200176625824.000000,58096.955534,294.193835,55.507812,0.320000,68.175363,79.995963,4.863308,79.995963,0.000033,0.003266,5.851037,87615.422983,0.383247,0.590370,0.475908
79253548373247424.000000,3754804879745609.500000,1480630219967823872.000000,3188202932679690240.000000,40077701480476896.000000,42930651736024656.000000,53536.625489,294.431279,46.328125,0.360000,68.175363,79.992934,4.836995,79.992934,0.000041,0.004119,5.122809,104408.207125,0.433537,0.633263,0.418518
81238287613317872.000000,4594116052874714.000000,1716872798574198272.000000,3885236895404660224.000000,42262879384949680.000000,43569524287654640.000000,50476.629326,294.662174,40.781250,0.400000,68.175363,80.005921,4.821847,80.005921,0.000049,0.004966,4.634398,118238.073318,0.473345,0.662385,0.374260
82732445800342992.000000,5584338657748794.000000,1959155284509784832.000000,4572522439494880768.000000,44277333956082488.000000,44039450763564392.000000,48040.592597,294.881611,36.699219,0.440000,68.175363,79.993416,4.806280,79.993416,0.000057,0.005808,4.244334,130965.667254,0.509135,0.685521,0.338099
83963025843234992.000000,6535548961471694.000000,2187824550711395584.000000,5271781773294302208.000000,45978134318532192.000000,44520440482532288.000000,46178.930982,295.098487,33.906250,0.480000,68.175363,79.994611,4.795321,79.994611,0.000066,0.006655,3.960019,141430.755261,0.537497,0.702335,0.308505
85072954470130224.000000,7426912584355207.000000,2413204899280437760.000000,5974777283267672064.000000,47612202447956784.000000,44887664617439016.000000,44609.257419,295.312145,31.611328,0.520000,68.175363,79.996932,4.784534,79.996932,0.000074,0.007505,3.710540,151357.369725,0.564457,0.716784,0.283481
86048507806511936.000000,8304841791571333.000000,2634022028951331328.000000,6677915070526942208.000000,48981476795990600.000000,45371872752092224.000000,43320.807324,295.521298,29.980469,0.560000,68.175363,79.995075,4.777245,79.995075,0.000082,0.008353,3.527734,159347.962706,0.584899,0.727410,0.262432
86982749879662976.000000,9159895162592994.000000,2851010723441902592.000000,7389377586546220032.000000,50482283716786560.000000,45660360992621872.000000,42116.720860,295.726877,28.530273,0.600000,68.175363,80.000264,4.767885,80.000264,0.000090,0.009209,3.358097,167119.866071,0.604742,0.737144,0.243955
87843047127108768.000000,10284997377697226.000000,3128190716136302080.000000,8267758932638148608.000000,52183844050589816.000000,45944200415792600.000000,40908.920741,295.978952,27.065430,0.650000,68.175363,80.001505,4.757089,80.001505,0.000101,0.010274,3.175862,175766.264744,0.627344,0.747234,0.224157
88686610311419952.000000,11342448264605958.000000,3408430046671789568.000000,9131747911752139776.000000,53490590025946728.000000,46538468402130960.000000,39910.160797,296.229734,25.908203,0.700000,68.175363,79.992103,4.751760,79.992103,0.000111,0.011330,3.025168,183411.829018,0.646767,0.755379,0.207699
89549730078247904.000000,12323510501764444.000000,3665767178024877568.000000,10026349413456644096.000000,54771955859791440.000000,47101283484006504.000000,39014.151483,296.482283,24.980469,0.750000,68.175363,79.993686,4.747190,79.993686,0.000121,0.012402,2.900934,190040.898099,0.663120,0.762060,0.193471
90093821473450400.000000,13456015814359154.000000,3940358455358708224.000000,10894844625347592192.000000,55950539405775944.000000,47599297871681192.000000,38285.430740,296.726016,24.194336,0.800000,68.175363,80.002188,4.743393,80.002188,0.000131,0.013463,2.788206,196059.292151,0.678681,0.767831,0.181065
90284540845054576.000000,14680573797352244.000000,4227790259483530752.000000,11749464390051917824.000000,57175554936394792.000000,47789559715972400.000000,37707.579284,296.961433,23.525391,0.850000,68.175363,79.992688,4.735801,79.992688,0.000141,0.014521,2.685580,201311.944387,0.693423,0.772773,0.169882
90859849126264864.000000,15796631440670928.000000,4502569096701835776.000000,12614728111367186432.000000,58330934827016240.000000,48325545572115112.000000,37022.807378,297.194541,22.910156,0.900000,68.175363,80.001992,4.732841,80.001992,0.000152,0.015584,2.594439,206589.284014,0.706195,0.777415,0.160221
91798063014076960.000000,17945047638098238.000000,5040814502401236992.000000,14363074384117008384.000000,60652456181816432.000000,49090654646242736.000000,35859.646788,297.655816,21.909180,1.000000,68.175363,79.994455,4.723189,79.994455,0.000172,0.017725,2.438586,215588.208174,0.728575,0.785038,0.143615
92345305530608624.000000,20059756211318532.000000,5587294180937734144.000000,16094528500091314176.000000,62729416764434968.000000,49675644961028904.000000,35037.407097,298.114283,21.215820,1.100000,68.175363,79.997752,4.714819,79.997752,0.000193,0.019865,2.318760,222240.376203,0.746574,0.790427,0.130083
92856395734538768.000000,22146671044731552.000000,6137412196853257216.000000,17814210286089592832.000000,64650812064514184.000000,50352254838817432.000000,34311.992836,298.561585,20.673828,1.200000,68.175363,80.002799,4.708621,80.002799,0.000213,0.022004,2.220930,227767.897714,0.761412,0.794696,0.118915
93465913759427584.000000,24096249071421696.000000,6665669770411364352.000000,19556398176991932416.000000,66328258998821200.000000,51233903702099184.000000,33667.503800,299.014924,20.209961,1.300000,68.175363,79.992164,4.704784,79.992164,0.000234,0.024160,2.132685,232806.883484,0.774945,0.798357,0.109600
93816003726032672.000000,26168051297654660.000000,7213875473818244096.000000,21270993755066494976.000000,68135369993168656.000000,51848685089423792.000000,33094.230875,299.446496,19.829102,1.400000,68.175363,79.998904,4.699386,79.998904,0.000254,0.026310,2.055353,237007.202453,0.786956,0.801420,0.101523
94579515164390800.000000,27986587360577320.000000,7734401211109960704.000000,23012184405165105152.000000,69655010514020696.000000,52911093239920280.000000,32521.176782,299.896972,19.487305,1.500000,68.175363,80.005646,4.699095,80.005646,0.000275,0.028478,1.985127,241150.350096,0.797780,0.804190,0.094735
95239414935892128.000000,29780298946908204.000000,8253994609020395520.000000,24753173081414553600.000000,71165341577611568.000000,53854372278082280.000000,32007.608130,300.343825,19.184570,1.600000,68.175363,79.995247,4.697024,79.995247,0.000296,0.030655,1.919152,244848.844346,0.808015,0.806628,0.088746
95798463753495152.000000,31573747990194664.000000,8769838267821012992.000000,26497468037334237184.000000,72729672958073968.000000,54642538033069704.000000,31551.469364,300.786518,18.935547,1.700000,68.175363,79.999473,4.694490,79.999473,0.000316,0.032841,1.860299,247936.148725,0.817237,0.808670,0.083429
