R=0.060000,L=0.100000,betai=0.700000,betag=0.300000,omega=85199992.765355,Nw=5.000000,Rcoil=2.000000,VGitter=1500.000000,sGitter=0.001500,Eexc=9.500000
n,nIm,nI2,nI,nIp,nI2p,te,tg,PRF,Q0,Jcl,IStrahl,Schub,Schubleistung,Schubneutral,Schubleistungneutral,ISpule,xi,zeta,gamma,eta
m^-3,m^-3,m^-3,m^-3,m^-3,m^-3,K,K,W,mg*s^-1,A*m^-2,mA,mN,W,mN,W,A,mN*kW^-1,,,
75116853745235312.000000,18477232654776072.000000,5830794689914249216.000000,13771331484647815168.000000,47761091217327896.000000,45832994223763296.000000,35756.076783,296.785191,50.000000,1.000000,125.246139,67.067746,4.920197,100.601619,0.000173,0.017615,3.623073,98407.418502,0.737467,0.668037,0.123961
78356058844062320.000000,18384970570963848.000000,5660145228133095424.000000,13910289227741786112.000000,50236382209590536.000000,46504647109097504.000000,35770.892469,296.955440,52.500000,1.000000,125.246139,69.564066,5.087697,104.346100,0.000173,0.017648,3.723630,96911.819204,0.735897,0.665315,0.127785
81729544722149808.000000,18282380709115160.000000,5491989648488782848.000000,14041693315911337984.000000,52829548019478112.000000,47182377427328320.000000,35789.276483,297.132198,55.125000,1.000000,125.246139,72.170586,5.262283,108.255879,0.000173,0.017676,3.827998,95464.062440,0.734176,0.662635,0.131761
85242800401056800.000000,18169452875200724.000000,5326404079031124992.000000,14165241062876600320.000000,55545703731283832.000000,47866551802350016.000000,35811.354860,297.315625,57.881000,1.000000,125.246139,74.892834,5.444314,112.339250,0.000173,0.017699,3.936315,94063.456345,0.732303,0.659999,0.135899
88900847847802096.000000,18046205335579144.000000,5163491550167428096.000000,14280604564006572032.000000,58389495315611704.000000,48557557895749616.000000,35837.229543,297.505816,60.775000,1.000000,125.246139,77.736030,5.634129,116.604045,0.000173,0.017716,4.048867,92707.545123,0.730262,0.657406,0.140205
92708235805958816.000000,17912678405940262.000000,5003367797506555904.000000,14387447304630343680.000000,61365195059331968.000000,49255719142736728.000000,35867.032366,297.702826,63.814000,1.000000,125.246139,80.705178,5.832052,121.057768,0.000172,0.017727,4.165941,91394.111499,0.728037,0.654853,0.144687
96673886773548992.000000,17768807640299494.000000,4845972677257506816.000000,14485542197211664384.000000,64480615924800632.000000,49962078313220392.000000,35900.911023,297.906958,67.005000,1.000000,125.246139,83.808850,6.038644,125.713275,0.000172,0.017732,4.287502,90124.859968,0.725652,0.652348,0.149356
100804163258898912.000000,17614590297456862.000000,4691362879267595264.000000,14574569073021073408.000000,67741336755318664.000000,50677408138728456.000000,35939.023155,298.118326,70.355000,1.000000,125.246139,87.053719,6.254345,130.580579,0.000171,0.017731,4.413707,88899.385200,0.723107,0.649894,0.154224
105106749525104448.000000,17449999704273044.000000,4539556004435179520.000000,14654220341739558912.000000,71154410151305088.000000,51402338193691168.000000,35981.595072,298.337115,73.873000,1.000000,125.246139,90.447863,6.479678,135.671795,0.000171,0.017723,4.544776,87716.066257,0.720399,0.647489,0.159301
109585225657286560.000000,17274798709051404.000000,4390388537447096320.000000,14724607872221145088.000000,74725922806526096.000000,52134101687044224.000000,36028.862872,298.563340,77.566000,1.000000,125.246139,93.996573,6.714941,140.994860,0.000170,0.017708,4.680831,86572.867397,0.717529,0.645134,0.164592
114251353772579184.000000,17089112003510648.000000,4243988920335470080.000000,14785093337615624192.000000,78464092329249648.000000,52876372927977376.000000,36081.060180,298.797252,81.445000,1.000000,125.246139,97.711216,6.960914,146.566824,0.000170,0.017686,4.822169,85469.744530,0.714491,0.642831,0.170115
119110381027484672.000000,16893106281038590.000000,4100512952944029184.000000,14835221795106353152.000000,82373381040155344.000000,53630106553917680.000000,36138.411853,299.038790,85.517000,1.000000,125.246139,101.598460,7.218040,152.397691,0.000169,0.017657,4.968922,84406.711522,0.711283,0.640583,0.175882
124171689128983728.000000,16686748536300248.000000,3959939090792581632.000000,14874656331715100672.000000,86461942731162080.000000,54396494949375896.000000,36201.231084,299.288081,89.793000,1.000000,125.246139,105.668622,7.486997,158.502933,0.000168,0.017619,5.121359,83382.500217,0.707902,0.638389,0.181906
129427571096870320.000000,16477116710766440.000000,3822727834995826688.000000,14902798711047636992.000000,90761460075205504.000000,55143226411741832.000000,36273.636768,299.545120,94.282000,1.000000,125.246139,109.937768,7.768346,164.906652,0.000167,0.017573,5.279390,82396.563299,0.704377,0.636266,0.188186
134888217264969040.000000,16260354157768254.000000,3688719005278953472.000000,14919395582492706816.000000,95264161403789440.000000,55884411925896424.000000,36356.025065,299.810061,98.997000,1.000000,125.246139,114.411843,8.062692,171.617764,0.000166,0.017518,5.443406,81445.485308,0.700691,0.634201,0.194743
140556084995075296.000000,16026226360343150.000000,3557795667358343680.000000,14924102587309256704.000000,99923378722888272.000000,56658932451573536.000000,36450.618888,300.082988,103.946000,1.000000,125.246139,119.081975,8.370125,178.622962,0.000165,0.017454,5.613522,80525.370418,0.696846,0.632162,0.201596
146454561814383968.000000,15781766217612780.000000,3429953665642093056.000000,14916386641714182144.000000,104785180171746000.000000,57451148024066360.000000,36553.581326,300.363724,109.144000,1.000000,125.246139,123.975945,8.692111,185.963918,0.000164,0.017380,5.790252,79640.429051,0.692818,0.630177,0.208768
152588247157666592.000000,15527324073494958.000000,3305158492464550912.000000,14896032748688971776.000000,109856117518947392.000000,58259453837416912.000000,36665.289105,300.651987,114.601000,1.000000,125.246139,129.103021,9.029222,193.654531,0.000163,0.017296,5.973784,78789.761138,0.688606,0.628248,0.216271
158965636417299264.000000,15262941710302944.000000,3183356466612188672.000000,14862686860526942208.000000,115144208285616256.000000,59084364464351840.000000,36786.354397,300.947626,120.331000,1.000000,125.246139,134.475971,9.382290,201.713957,0.000162,0.017202,6.164433,77972.024089,0.684202,0.626373,0.224124
165616547485474816.000000,15001466588350400.000000,3072990900249254400.000000,14801295207554510848.000000,120537197858649376.000000,60080815854021984.000000,36914.725721,301.246550,126.348000,1.000000,125.246139,140.099110,9.754059,210.148665,0.000161,0.017087,6.363139,77201.217959,0.679540,0.624538,0.232456
172372261466385408.000000,14728417735396240.000000,2962767519547460096.000000,14736100615096786944.000000,126102899595588208.000000,60997779270244664.000000,37052.751134,301.547914,132.665000,1.000000,125.246139,145.875505,10.134440,218.813257,0.000159,0.016968,6.568234,76392.414087,0.674807,0.622570,0.240939
179325547963249760.000000,14442721313562242.000000,2852747239781193216.000000,14663530869774366720.000000,131899639011663248.000000,61868628928392952.000000,37202.309038,301.854777,139.298000,1.000000,125.246139,151.886733,10.529135,227.830099,0.000158,0.016842,6.780678,75588.251660,0.669934,0.620591,0.249708
186520537869025248.000000,14148304047465006.000000,2745744894712374784.000000,14577130999506618368.000000,137908620475321312.000000,62760219917311016.000000,37363.803130,302.166446,146.263000,1.000000,125.246139,158.167212,10.941403,237.250818,0.000156,0.016705,7.001359,74807.428597,0.664857,0.618641,0.258865
