# Ionisation rate (itikawa)
Te_eV,Kiz_m3s
13.700,1.606488e-14
13.750,1.618132e-14
13.800,1.629791e-14
13.850,1.641464e-14
13.900,1.653151e-14
13.950,1.664852e-14
14.000,1.676566e-14
14.050,1.688294e-14
14.100,1.700035e-14
14.150,1.711789e-14
14.200,1.723556e-14
14.250,1.735335e-14
14.300,1.747126e-14
14.350,1.758930e-14
14.400,1.770745e-14
14.450,1.782572e-14
14.500,1.794410e-14
14.550,1.806259e-14
14.600,1.818120e-14
14.650,1.829991e-14
14.700,1.841872e-14
14.750,1.853764e-14
14.800,1.865666e-14
14.850,1.877578e-14
14.900,1.889500e-14
14.950,1.901431e-14
15.000,1.913372e-14
15.050,1.925322e-14
15.100,1.937280e-14
15.150,1.949248e-14
15.200,1.961224e-14
15.250,1.973208e-14
15.300,1.985201e-14
15.350,1.997201e-14
15.400,2.009210e-14
15.450,2.021226e-14
15.500,2.033249e-14
15.550,2.045280e-14
15.600,2.057318e-14
15.650,2.069363e-14
15.700,2.081415e-14
15.750,2.093473e-14
15.800,2.105538e-14
15.850,2.117608e-14
15.900,2.129685e-14
15.950,2.141768e-14
16.000,2.153857e-14
16.050,2.165951e-14
16.100,2.178051e-14
16.150,2.190156e-14
16.200,2.202266e-14
16.250,2.214381e-14
16.300,2.226500e-14
16.350,2.238625e-14
16.400,2.250754e-14
16.450,2.262887e-14
16.500,2.275024e-14
16.550,2.287165e-14
16.600,2.299311e-14
16.650,2.311460e-14
16.700,2.323612e-14
16.750,2.335768e-14
16.800,2.347927e-14
16.850,2.360090e-14
16.900,2.372255e-14
16.950,2.384424e-14
17.000,2.396595e-14
17.050,2.408768e-14
17.100,2.420945e-14
17.150,2.433123e-14
17.200,2.445304e-14
17.250,2.457486e-14
17.300,2.469671e-14
17.350,2.481858e-14
17.400,2.494046e-14
17.450,2.506235e-14
17.500,2.518427e-14
17.550,2.530619e-14
17.600,2.542813e-14
17.650,2.555007e-14
17.700,2.567203e-14
17.750,2.579399e-14
17.800,2.591596e-14
17.850,2.603794e-14
17.900,2.615992e-14
17.950,2.628190e-14
18.000,2.640389e-14
18.050,2.652588e-14
18.100,2.664787e-14
18.150,2.676985e-14
18.200,2.689184e-14
18.250,2.701382e-14
18.300,2.713579e-14
18.350,2.725777e-14
18.400,2.737973e-14
